Dominant_topic,Subtopics
Shift Coverage Request,"Break Schedule Change, Overtime Approval Need, Team Meeting Conflict, Emergency Coverage Required"
Training Schedule Update,"Compliance Education Reminder, Certification Deadline Alert, Skill Development Session, Knowledge Assessment Planning"
Performance Review Planning,"Performance Goal Setting, Review Meeting Schedule, Feedback Session Planning, Evaluation Timeline Update"
Break Schedule Coordination,"Break Time Adjustment, Shift Change Request, Schedule Conflict Resolution, Coverage Gap Alert"
Overtime Approval Need,"Overtime Request Approval, Additional Hours Authorization, Extended Shift Approval, Weekend Coverage Need"
Team Meeting Reminder,"Daily Meeting Alert, Weekly Team Update, Project Review Reminder, Training Session Notice, Department Briefing"
Staff Management Discussion,"Resource Allocation Discussion, Team Assignment Update, Workload Distribution Plan, Staffing Level Review"
Workforce Planning Update,"Seasonal Planning Chat, Recruitment Update Alert, Resource Planning Discussion, Capacity Review Update, Hiring Status"
Employee Relations Coordination,"Team Building Coordination, Conflict Resolution Chat, Wellness Program Update, Recognition Program Message"
Attendance Management Alert,"Leave Balance Update, Attendance Record Review, Absence Pattern Alert, Time Tracking Issue, Holiday Schedule"
Leave Request Approval,"Manager Approval Needed, Leave Request Processing, Vacation Day Confirmation, Time-off Documentation"
Policy Clarification Request,"Company Policy Question, Procedure Interpretation Need, Rule Clarification Request, Guideline Understanding"
Compliance Training Reminder,"Training Calendar Update, Learning Module Alert, Education Session Reminder, Development Program Notice"
Skill Development Update,"Personal Development Planning, Career Growth Session, Skill Building Workshop, Professional Training Update, Certification Progress"
System Status Alert,"Core Banking Health, Network Status Check, System Availability Report, Service Performance Alert"
Network Performance Issue,"Connection Issue Report, Bandwidth Problem Alert, Network Outage Update, Connectivity Status Warning, Infrastructure Problem"
Application Server Warning,"Application Error Report, Server Response Issue, System Performance Warning, Service Availability Alert"
Database Access Problem,"Database Connection Problem, Data Access Issue, Query Performance Warning, Storage System Alert, Backup Status"
Authentication Service Down,"Login Service Issue, Security Token Problem, Access Verification Error, Identity Management Alert"
Security Protocol Change,"Security Update Notification, Protocol Enhancement Alert, Access Control Change, Authentication Update Notice, Threat Assessment"
Hardware Troubleshooting Help,"Device Issue Resolution, Equipment Problem Fix, Hardware Malfunction Support, Technical Equipment Help"
Software Issue Resolution,"Application Bug Fix, Software Error Resolution, System Problem Solving, Program Issue Support, Configuration Help"
User Access Problem,"Login Problem Resolution, Account Access Help, Permission Issue Fix, User Authentication Support"
Technology Rollout Update,"New Technology Implementation, System Modernization Update, Platform Migration Notice, Digital Enhancement Alert, Upgrade Planning"
System Integration Progress,"System Connection Progress, Application Integration Update, Platform Linking Status, Technical Merger Report"
Cybersecurity Alert Warning,"Security Threat Alert, Cyber Risk Warning, Security Incident Notice, Protection System Update, Vulnerability Report"
Process Coordination Discussion,"Workflow Improvement Discussion, Process Enhancement Planning, Operational Efficiency Review, Service Optimization Alert"
Workflow Optimization Alert,"Process Streamlining Alert, Workflow Bottleneck Fix, Efficiency Enhancement Notice, Productivity Improvement Plan"
Quality Standard Reminder,"Service Excellence Reminder, Quality Benchmark Alert, Performance Standard Notice, Customer Care Guidelines, Best Practice"
Case Management Discussion,"Complex Issue Escalation, Advanced Problem Resolution, Senior Management Referral, Executive Review Required, Priority Handling"
Knowledge Management Update,"Information System Update, Knowledge Repository Change, Reference Database Modification, Information Resource Alert, Content Update"
Team Coordination Update,"Collaboration Project Update, Team Communication Alert, Joint Initiative Progress, Partnership Coordination Notice"
