keyphrase,cluster_id,document_id
recur charge inquiry,8,688da4a756cd4d67b0bf9fcf
direct deposit delay,6,688da4a756cd4d67b0bf9fd0
direct debit issue,3,688da4a756cd4d67b0bf9fd1
fraudulent transaction dispute,0,688da4a756cd4d67b0bf9fd2
pende deposit inquiry,-1,688da4a756cd4d67b0bf9fd3
online access block,-1,688da4a756cd4d67b0bf9fd4
fraudulent charge dispute,1,688da4a756cd4d67b0bf9fd5
fraudulent charge dispute,1,688da4a756cd4d67b0bf9fd6
direct deposit delay,6,688da4a756cd4d67b0bf9fd7
fraudulent charge dispute,1,688da4a756cd4d67b0bf9fd8
direct debit failure,3,688da4a756cd4d67b0bf9fd9
direct deposit issue,5,688da4a756cd4d67b0bf9fda
fail direct debit,2,688da4a756cd4d67b0bf9fdb
unauthorized transaction dispute,4,688da4a856cd4d67b0bf9fdc
debit rejection issue,9,688da4a856cd4d67b0bf9fdd
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fde
direct deposit issue,5,688da4a856cd4d67b0bf9fdf
card issue resolution,10,688da4a856cd4d67b0bf9fe0
online access block,-1,688da4a856cd4d67b0bf9fe1
deposit posting delay,12,688da4a856cd4d67b0bf9fe2
unauthorized charge dispute,4,688da4a856cd4d67b0bf9fe3
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fe4
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fe5
direct deposit delay,6,688da4a856cd4d67b0bf9fe6
direct debit issue,3,688da4a856cd4d67b0bf9fe7
fraudulent charge dispute,1,688da4a856cd4d67b0bf9fe8
unauthorized charge inquiry,4,688da4a856cd4d67b0bf9fe9
direct debit failure,3,688da4a856cd4d67b0bf9fea
direct deposit delay,6,688da4a856cd4d67b0bf9feb
direct deposit delay,6,688da4a856cd4d67b0bf9fec
fraudulent charge inquiry,1,688da4a856cd4d67b0bf9fed
mortgage payment pende,-1,688da4a856cd4d67b0bf9fee
lose debit card,9,688da4a856cd4d67b0bf9fef
direct deposit delay,6,688da4a856cd4d67b0bf9ff0
card decline issue,10,688da4a856cd4d67b0bf9ff1
direct deposit issue,5,688da4a856cd4d67b0bf9ff2
unauthorized charge dispute,4,688da4a956cd4d67b0bf9ff3
upi transfer failure,11,688da4a956cd4d67b0bf9ff4
unauthorized charge dispute,4,688da4a956cd4d67b0bf9ff5
unauthorized transaction dispute,4,688da4a956cd4d67b0bf9ff6
online fraud dispute,-1,688da4a956cd4d67b0bf9ff7
direct deposit delay,6,688da4a956cd4d67b0bf9ff8
charge recognition inquiry,8,688da4a956cd4d67b0bf9ff9
card app display issue,10,688da4a956cd4d67b0bf9ffa
subscription charge inquiry,7,688da4a956cd4d67b0bf9ffb
direct deposit issue,5,688da4a956cd4d67b0bf9ffc
unauthorized charge dispute,4,688da4a956cd4d67b0bf9ffd
direct deposit delay,6,688da4a956cd4d67b0bf9ffe
fraudulent charge dispute,1,688da4a956cd4d67b0bf9fff
direct deposit delay,6,688da4a956cd4d67b0bfa000
direct debit failure,3,688da4a956cd4d67b0bfa001
direct debit failure,3,688da4a956cd4d67b0bfa002
block account access,-1,688da4a956cd4d67b0bfa003
unauthorized charge dispute,4,688da4a956cd4d67b0bfa004
kyc verification,11,688da4a956cd4d67b0bfa005
mortgage payment reschedule,-1,688da4a956cd4d67b0bfa006
direct deposit issue,5,688da4a956cd4d67b0bfa007
fraudulent charge dispute,1,688da4a956cd4d67b0bfa008
decline card issue,-1,688da4a956cd4d67b0bfa009
direct debit failure,3,688da4a956cd4d67b0bfa00a
charge dispute process,-1,688da4a956cd4d67b0bfa00b
subscription dispute,7,688da4a956cd4d67b0bfa00c
debit card decline,9,688da4a956cd4d67b0bfa00d
unauthorized charge inquiry,4,688da4a956cd4d67b0bfa00e
direct debit failure,3,688da4a956cd4d67b0bfa00f
fail payment inquiry,2,688da4a956cd4d67b0bfa010
fraudulent charge inquiry,1,688da4aa56cd4d67b0bfa011
pende debit investigation,-1,688da4aa56cd4d67b0bfa012
fail direct debit,2,688da4aa56cd4d67b0bfa013
debit card decline,9,688da4aa56cd4d67b0bfa014
direct debit failure,3,688da4aa56cd4d67b0bfa015
password reset issue,-1,688da4aa56cd4d67b0bfa016
direct deposit delay,6,688da4aa56cd4d67b0bfa017
direct debit failure,3,688da4aa56cd4d67b0bfa018
recur charge inquiry,8,688da4aa56cd4d67b0bfa019
deposit delay issue,12,688da4aa56cd4d67b0bfa01a
fraudulent transaction review,0,688da4aa56cd4d67b0bfa01b
payment issue resolution,13,688da4aa56cd4d67b0bfa01c
fraudulent transaction review,0,688da4aa56cd4d67b0bfa01d
direct debit failure,3,688da4aa56cd4d67b0bfa01e
unauthorized charge dispute,4,688da4aa56cd4d67b0bfa01f
fail direct debit,2,688da4aa56cd4d67b0bfa020
direct deposit delay,6,688da4aa56cd4d67b0bfa021
direct deposit issue,5,688da4aa56cd4d67b0bfa022
fraudulent charge dispute,1,688da4aa56cd4d67b0bfa023
unrecognized charge dispute,4,688da4aa56cd4d67b0bfa024
direct debit failure,3,688da4aa56cd4d67b0bfa025
recur charge inquiry,8,688da4aa56cd4d67b0bfa026
card activation issue,10,688da4aa56cd4d67b0bfa027
deposit processing issue,12,688da4aa56cd4d67b0bfa028
card activation issue,10,688da4aa56cd4d67b0bfa029
fraudulent charge dispute,1,688da4aa56cd4d67b0bfa02a
direct deposit inquiry,-1,688da4aa56cd4d67b0bfa02b
card activation failure,10,688da4aa56cd4d67b0bfa02c
direct deposit delay,6,688da4aa56cd4d67b0bfa02d
direct deposit delay,6,688da4aa56cd4d67b0bfa02e
direct deposit review,6,688da4ab56cd4d67b0bfa02f
card delivery error,10,688da4ab56cd4d67b0bfa030
direct deposit issue,5,688da4ab56cd4d67b0bfa031
card decline issue,10,688da4ab56cd4d67b0bfa032
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa033
unauthorized charge dispute,4,688da4ab56cd4d67b0bfa034
unauthorized transaction inquiry,4,688da4ab56cd4d67b0bfa035
deposit discrepancy issue,12,688da4ab56cd4d67b0bfa036
direct debit failure,3,688da4ab56cd4d67b0bfa037
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa038
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa039
direct deposit error,6,688da4ab56cd4d67b0bfa03a
payment issue investigation,13,688da4ab56cd4d67b0bfa03b
card decline issue,10,688da4ab56cd4d67b0bfa03c
deposit issue investigation,12,688da4ab56cd4d67b0bfa03d
fraudulent transaction block,0,688da4ab56cd4d67b0bfa03e
direct deposit inquiry,6,688da4ab56cd4d67b0bfa03f
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa040
travel card block,10,688da4ab56cd4d67b0bfa041
direct deposit delay,6,688da4ab56cd4d67b0bfa042
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa043
upi transfer block,11,688da4ab56cd4d67b0bfa044
fraudulent transaction block,0,688da4ab56cd4d67b0bfa045
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa046
direct debit block,3,688da4ab56cd4d67b0bfa047
unauthorized charge dispute,4,688da4ab56cd4d67b0bfa048
direct deposit issue,5,688da4ab56cd4d67b0bfa049
fraudulent charge dispute,1,688da4ab56cd4d67b0bfa04a
card decline issue,10,688da4ab56cd4d67b0bfa04b
misdeliver debit card,9,688da4ab56cd4d67b0bfa04c
fraudulent transaction claim,0,688da4ac56cd4d67b0bfa04d
direct debit failure,3,688da4ac56cd4d67b0bfa04e
statement discrepancy inquiry,13,688da4ac56cd4d67b0bfa04f
unauthorized charge dispute,4,688da4ac56cd4d67b0bfa050
direct deposit issue,5,688da4ac56cd4d67b0bfa051
fraudulent charge dispute,1,688da4ac56cd4d67b0bfa052
recur charge inquiry,8,688da4ac56cd4d67b0bfa053
payment issue resolution,13,688da4ac56cd4d67b0bfa054
decline transaction issue,-1,688da4ac56cd4d67b0bfa055
direct debit failure,3,688da4ac56cd4d67b0bfa056
unauthorized charge dispute,4,688da4ac56cd4d67b0bfa057
fraudulent charge dispute,1,688da4ac56cd4d67b0bfa058
direct deposit issue,5,688da4ac56cd4d67b0bfa059
subscription dispute inquiry,7,688da4ac56cd4d67b0bfa05a
subscription charge inquiry,7,688da4ac56cd4d67b0bfa05b
fraudulent charge dispute,1,688da4ac56cd4d67b0bfa05c
payment processing issue,13,688da4ac56cd4d67b0bfa05d
fraudulent charge dispute,1,688da4ac56cd4d67b0bfa05e
account access issue,-1,688da4ac56cd4d67b0bfa05f
unauthorized subscription charge,4,688da4ac56cd4d67b0bfa060
upi transfer failure,11,688da4ac56cd4d67b0bfa061
deposit issue investigation,12,688da4ac56cd4d67b0bfa062
direct debit failure,3,688da4ac56cd4d67b0bfa063
payment processing issue,13,688da4ac56cd4d67b0bfa064
account balance discrepancy,-1,688da4ac56cd4d67b0bfa065
dispute charge inquiry,1,688da4ac56cd4d67b0bfa066
unauthorized charge dispute,4,688da4ac56cd4d67b0bfa067
upi transfer failure,11,688da4ac56cd4d67b0bfa068
subscription charge inquiry,7,688da4ac56cd4d67b0bfa069
direct deposit delay,6,688da4ac56cd4d67b0bfa06a
fraudulent charge review,1,688da4ad56cd4d67b0bfa06b
direct deposit inquiry,-1,688da4ad56cd4d67b0bfa06c
fraudulent charge dispute,1,688da4ad56cd4d67b0bfa06d
card activation issue,10,688da4ad56cd4d67b0bfa06e
direct debit failure,3,688da4ad56cd4d67b0bfa06f
unrecognized charge dispute,4,688da4ad56cd4d67b0bfa070
deposit hold issue,12,688da4ad56cd4d67b0bfa071
fraudulent transaction claim,0,688da4ad56cd4d67b0bfa072
unauthorized charge inquiry,4,688da4ad56cd4d67b0bfa073
payroll deposit delay,6,688da4ad56cd4d67b0bfa074
decline transaction issue,-1,688da4ad56cd4d67b0bfa075
fraudulent access attempt,0,688da4ad56cd4d67b0bfa076
subscription charge dispute,7,688da4ad56cd4d67b0bfa077
direct deposit delay,6,688da4ad56cd4d67b0bfa078
direct debit block,3,688da4ad56cd4d67b0bfa079
mortgage payment rejection,-1,688da4ad56cd4d67b0bfa07a
direct debit failure,3,688da4ad56cd4d67b0bfa07b
direct deposit delay,6,688da4ad56cd4d67b0bfa07c
direct debit failure,3,688da4ad56cd4d67b0bfa07d
miss direct deposit,6,688da4ad56cd4d67b0bfa07e
deposit issue inquiry,12,688da4ad56cd4d67b0bfa07f
fraudulent transaction dispute,0,688da4ad56cd4d67b0bfa080
subscription dispute,7,688da4ad56cd4d67b0bfa081
recur charge inquiry,8,688da4ad56cd4d67b0bfa082
direct deposit delay,6,688da4ad56cd4d67b0bfa083
direct debit failure,3,688da4ad56cd4d67b0bfa084
otp delivery failure,11,688da4ad56cd4d67b0bfa085
unauthorized subscription dispute,4,688da4ad56cd4d67b0bfa086
