x,y,cluster,keyphrase,document_id
-11.509965,-12.128396,7,recur charge inquiry,688da4a756cd4d67b0bf9fcf
-0.74117684,39.766335,4,direct deposit delay,688da4a756cd4d67b0bf9fd0
13.396581,-7.8100376,3,direct debit issue,688da4a756cd4d67b0bf9fd1
-8.761537,-0.13718109,0,fraudulent transaction dispute,688da4a756cd4d67b0bf9fd2
-10.559866,-12.470451,-1,pende deposit inquiry,688da4a756cd4d67b0bf9fd3
-11.446458,-13.317214,-1,online access block,688da4a756cd4d67b0bf9fd4
-6.5320277,-1.4275322,1,fraudulent charge dispute,688da4a756cd4d67b0bf9fd5
-6.300786,-0.86852664,1,fraudulent charge dispute,688da4a756cd4d67b0bf9fd6
-0.9236375,40.049946,4,direct deposit delay,688da4a756cd4d67b0bf9fd7
-7.0935717,-0.9123074,1,fraudulent charge dispute,688da4a756cd4d67b0bf9fd8
12.724922,-7.1474056,3,direct debit failure,688da4a756cd4d67b0bf9fd9
-1.3379612,40.154606,4,direct deposit issue,688da4a756cd4d67b0bf9fda
11.702509,-7.291891,2,fail direct debit,688da4a756cd4d67b0bf9fdb
-12.945748,-13.43282,5,unauthorized transaction dispute,688da4a856cd4d67b0bf9fdc
-9.089448,-12.335284,9,debit rejection issue,688da4a856cd4d67b0bf9fdd
-6.9635,-1.1130038,1,fraudulent charge dispute,688da4a856cd4d67b0bf9fde
-0.60688156,39.369003,4,direct deposit issue,688da4a856cd4d67b0bf9fdf
-8.295045,-11.419137,10,card issue resolution,688da4a856cd4d67b0bf9fe0
-11.416476,-13.250804,-1,online access block,688da4a856cd4d67b0bf9fe1
-7.7241344,-9.268612,8,deposit posting delay,688da4a856cd4d67b0bf9fe2
-12.312158,-13.949396,5,unauthorized charge dispute,688da4a856cd4d67b0bf9fe3
-7.203859,-1.0741081,1,fraudulent charge dispute,688da4a856cd4d67b0bf9fe4
-6.8981924,-0.67998666,1,fraudulent charge dispute,688da4a856cd4d67b0bf9fe5
-0.7690313,40.207233,4,direct deposit delay,688da4a856cd4d67b0bf9fe6
13.21482,-7.8570695,3,direct debit issue,688da4a856cd4d67b0bf9fe7
-6.596877,-0.57760465,1,fraudulent charge dispute,688da4a856cd4d67b0bf9fe8
-12.421403,-14.362043,5,unauthorized charge inquiry,688da4a856cd4d67b0bf9fe9
12.860266,-7.568543,3,direct debit failure,688da4a856cd4d67b0bf9fea
-1.2440667,39.762012,4,direct deposit delay,688da4a856cd4d67b0bf9feb
-0.9389964,39.645706,4,direct deposit delay,688da4a856cd4d67b0bf9fec
-6.2966104,-1.0812856,1,fraudulent charge inquiry,688da4a856cd4d67b0bf9fed
0.43901664,40.38849,-1,mortgage payment pende,688da4a856cd4d67b0bf9fee
-9.544929,-12.608417,9,lose debit card,688da4a856cd4d67b0bf9fef
-0.38167655,39.701813,4,direct deposit delay,688da4a856cd4d67b0bf9ff0
-8.389508,-11.829261,10,card decline issue,688da4a856cd4d67b0bf9ff1
-0.38481718,39.735218,4,direct deposit issue,688da4a856cd4d67b0bf9ff2
-12.375217,-14.422344,5,unauthorized charge dispute,688da4a956cd4d67b0bf9ff3
-6.7887797,-11.013009,12,upi transfer failure,688da4a956cd4d67b0bf9ff4
-12.783365,-14.141657,5,unauthorized charge dispute,688da4a956cd4d67b0bf9ff5
-12.842539,-13.335121,5,unauthorized transaction dispute,688da4a956cd4d67b0bf9ff6
-11.7470875,-13.308205,7,online fraud dispute,688da4a956cd4d67b0bf9ff7
-1.1624429,40.29118,4,direct deposit delay,688da4a956cd4d67b0bf9ff8
-11.096169,-11.797431,7,charge recognition inquiry,688da4a956cd4d67b0bf9ff9
-7.9870644,-11.9158,10,card app display issue,688da4a956cd4d67b0bf9ffa
-11.565746,-10.481067,6,subscription charge inquiry,688da4a956cd4d67b0bf9ffb
-0.45896515,40.05076,4,direct deposit issue,688da4a956cd4d67b0bf9ffc
-12.137196,-14.194409,5,unauthorized charge dispute,688da4a956cd4d67b0bf9ffd
-1.0960013,40.01377,4,direct deposit delay,688da4a956cd4d67b0bf9ffe
-6.4920187,-0.72795826,1,fraudulent charge dispute,688da4a956cd4d67b0bf9fff
-0.6639269,40.326122,4,direct deposit delay,688da4a956cd4d67b0bfa000
13.135973,-7.556746,3,direct debit failure,688da4a956cd4d67b0bfa001
12.995355,-7.6160636,3,direct debit failure,688da4a956cd4d67b0bfa002
-11.300806,-13.245941,-1,block account access,688da4a956cd4d67b0bfa003
-12.196946,-14.125385,5,unauthorized charge dispute,688da4a956cd4d67b0bfa004
-7.041524,-11.198414,12,kyc verification,688da4a956cd4d67b0bfa005
0.44325256,40.40121,-1,mortgage payment reschedule,688da4a956cd4d67b0bfa006
-1.2293357,39.711655,4,direct deposit issue,688da4a956cd4d67b0bfa007
-6.7096744,-1.4866015,1,fraudulent charge dispute,688da4a956cd4d67b0bfa008
-9.002947,-11.515026,9,decline card issue,688da4a956cd4d67b0bfa009
12.735908,-7.384696,3,direct debit failure,688da4a956cd4d67b0bfa00a
-11.159398,-11.620322,7,charge dispute process,688da4a956cd4d67b0bfa00b
-11.671213,-10.383864,6,subscription dispute,688da4a956cd4d67b0bfa00c
-9.064436,-12.635412,9,debit card decline,688da4a956cd4d67b0bfa00d
-12.768876,-14.444041,5,unauthorized charge inquiry,688da4a956cd4d67b0bfa00e
13.52384,-7.4545417,3,direct debit failure,688da4a956cd4d67b0bfa00f
11.274546,-7.2401514,2,fail payment inquiry,688da4a956cd4d67b0bfa010
-6.878676,-1.4665469,1,fraudulent charge inquiry,688da4aa56cd4d67b0bfa011
-10.473224,-12.696403,-1,pende debit investigation,688da4aa56cd4d67b0bfa012
11.53998,-7.201478,2,fail direct debit,688da4aa56cd4d67b0bfa013
-9.203886,-12.527635,9,debit card decline,688da4aa56cd4d67b0bfa014
13.011979,-7.2395334,3,direct debit failure,688da4aa56cd4d67b0bfa015
-8.0960455,-11.10623,-1,password reset issue,688da4aa56cd4d67b0bfa016
-0.92927575,39.472507,4,direct deposit delay,688da4aa56cd4d67b0bfa017
13.261181,-7.6334443,3,direct debit failure,688da4aa56cd4d67b0bfa018
-11.501055,-12.128629,7,recur charge inquiry,688da4aa56cd4d67b0bfa019
-8.007915,-9.323073,8,deposit delay issue,688da4aa56cd4d67b0bfa01a
-8.810732,-0.050871186,0,fraudulent transaction review,688da4aa56cd4d67b0bfa01b
-8.838829,-10.114227,11,payment issue resolution,688da4aa56cd4d67b0bfa01c
-8.666161,0.04216888,0,fraudulent transaction review,688da4aa56cd4d67b0bfa01d
13.555967,-7.2359033,3,direct debit failure,688da4aa56cd4d67b0bfa01e
-12.762319,-13.900848,5,unauthorized charge dispute,688da4aa56cd4d67b0bfa01f
11.565819,-7.1871157,2,fail direct debit,688da4aa56cd4d67b0bfa020
-0.9032912,40.309696,4,direct deposit delay,688da4aa56cd4d67b0bfa021
-1.2161351,40.227726,4,direct deposit issue,688da4aa56cd4d67b0bfa022
-6.5686398,-1.1035923,1,fraudulent charge dispute,688da4aa56cd4d67b0bfa023
-12.490535,-13.991767,5,unrecognized charge dispute,688da4aa56cd4d67b0bfa024
12.8747,-7.556276,3,direct debit failure,688da4aa56cd4d67b0bfa025
-11.337255,-12.02502,7,recur charge inquiry,688da4aa56cd4d67b0bfa026
-8.196529,-12.099517,10,card activation issue,688da4aa56cd4d67b0bfa027
-8.092858,-9.521484,8,deposit processing issue,688da4aa56cd4d67b0bfa028
-8.041875,-11.687155,10,card activation issue,688da4aa56cd4d67b0bfa029
-6.9694157,-0.73994225,1,fraudulent charge dispute,688da4aa56cd4d67b0bfa02a
0.08742857,40.9507,4,direct deposit inquiry,688da4aa56cd4d67b0bfa02b
