keyphrase,embedding_dimension,document_count,has_embedding
financial reporting procedure,3584,13,True
software issue resolution,3584,14,True
audit feedback review,3584,12,True
employee relation coordination,3584,11,True
risk assessment update,3584,13,True
gdpr access request,3584,12,True
workforce planning update,3584,9,True
pipeline management discussion,3584,13,True
network performance issue,3584,16,True
audit plan coordination,3584,8,True
team coordination update,3584,7,True
monthly compliance audit,3584,14,True
shift coverage request,3584,9,True
risk assessment documentation,3584,10,True
hardware troubleshooting help,3584,7,True
authentication service,3584,7,True
customer insight report,3584,11,True
documentation request alert,3584,14,True
audit find resolution,3584,12,True
compliance training reminder,3584,5,True
technology rollout update,3584,6,True
compliance report generation,3584,12,True
attendance management alert,3584,16,True
policy clarification request,3584,3,True
break schedule coordination,3584,10,True
security protocol change,3584,11,True
budget management discussion,3584,7,True
technology provider communication,3584,13,True
overtime approval need,3584,5,True
training schedule update,3584,3,True
team meet reminder,3584,12,True
product update communication,3584,10,True
workflow optimization alert,3584,6,True
cross department project update,3584,7,True
performance metric tracking,3584,13,True
leave request approval,3584,5,True
control testing validation,3584,7,True
business continuity activation,3584,5,True
regulatory response management,3584,9,True
case management discussion,3584,9,True
application server warning,3584,4,True
database access problem,3584,12,True
performance review planning,3584,5,True
campaign coordination discussion,3584,11,True
account access problem,3584,9,True
quality standard reminder,3584,10,True
knowledge management update,3584,12,True
customer research finding,3584,11,True
cybersecurity alert warning,3584,10,True
daily operational procedure,3584,10,True
regulatory examination preparation,3584,10,True
transaction status inquiry,3584,11,True
content management update,3584,8,True
compliance monitoring update,3584,14,True
compliance gap remediation,3584,10,True
system status alert,3584,10,True
regulatory update alert,3584,8,True
skill development update,3584,9,True
user access problem,3584,5,True
account management strategy,3584,5,True
audit coordination schedule,3584,10,True
system integration progress,3584,3,True
process coordination discussion,3584,5,True
vendor management discussion,3584,8,True
staff management discussion,3584,4,True
