keyphrase,embedding_dimension,document_count,batch_number
financial reporting procedure,3584,13,1
software issue resolution,3584,14,1
audit feedback review,3584,12,1
employee relation coordination,3584,11,1
risk assessment update,3584,13,1
gdpr access request,3584,12,1
workforce planning update,3584,9,1
pipeline management discussion,3584,13,1
network performance issue,3584,16,1
audit plan coordination,3584,8,1
team coordination update,3584,7,1
monthly compliance audit,3584,14,1
shift coverage request,3584,9,1
risk assessment documentation,3584,10,1
hardware troubleshooting help,3584,7,1
authentication service,3584,7,1
customer insight report,3584,11,2
documentation request alert,3584,14,2
audit find resolution,3584,12,2
compliance training reminder,3584,5,2
technology rollout update,3584,6,2
compliance report generation,3584,12,2
attendance management alert,3584,16,2
policy clarification request,3584,3,2
break schedule coordination,3584,10,2
security protocol change,3584,11,2
budget management discussion,3584,7,2
technology provider communication,3584,13,2
overtime approval need,3584,5,2
training schedule update,3584,3,2
team meet reminder,3584,12,2
product update communication,3584,10,2
workflow optimization alert,3584,6,3
cross department project update,3584,7,3
performance metric tracking,3584,13,3
leave request approval,3584,5,3
control testing validation,3584,7,3
business continuity activation,3584,5,3
regulatory response management,3584,9,3
case management discussion,3584,9,3
application server warning,3584,4,3
database access problem,3584,12,3
performance review planning,3584,5,3
campaign coordination discussion,3584,11,3
account access problem,3584,9,3
quality standard reminder,3584,10,3
knowledge management update,3584,12,3
customer research finding,3584,11,3
cybersecurity alert warning,3584,10,4
daily operational procedure,3584,10,4
regulatory examination preparation,3584,10,4
transaction status inquiry,3584,11,4
content management update,3584,8,4
compliance monitoring update,3584,14,4
compliance gap remediation,3584,10,4
system status alert,3584,10,4
regulatory update alert,3584,8,4
skill development update,3584,9,4
user access problem,3584,5,4
account management strategy,3584,5,4
audit coordination schedule,3584,10,4
system integration progress,3584,3,4
process coordination discussion,3584,5,4
vendor management discussion,3584,8,4
staff management discussion,3584,4,5
