keyphrase,cluster_id,document_id
authsvc login failure,48,6889ba7ca4f4718f70978ff5
atm card reader failure,6,6889ba7ea4f4718f70978ff6
ach payroll failure,39,6889ba7ea4f4718f70978ff7
fraudulent login attempt,20,6889ba7ea4f4718f70978ff8
branch network outage,3,6889ba7ea4f4718f70978ff9
android app crash,1,6889ba7ea4f4718f70978ffa
loan report generation,72,6889ba7ea4f4718f70978ffb
exchange online outage,11,6889ba7ea4f4718f70978ffc
css styling error,73,6889ba7fa4f4718f70978ffd
firewall log volume,49,6889ba7fa4f4718f70978ffe
ldap query latency,42,6889bab4a4f4718f70978fff
atm card retention,4,6889bab4a4f4718f70979000
ach payroll failure,39,6889bab4a4f4718f70979001
core banking slowdown,51,6889bab4a4f4718f70979002
suspicious login activity,9,6889bab4a4f4718f70979003
branch network outage,3,6889bab4a4f4718f70979004
salesforce api timeout,67,6889bab4a4f4718f70979005
report generation delay,33,6889bab4a4f4718f70979006
mobile app alignment,26,6889bab4a4f4718f70979007
audit log capacity,49,6889bab4a4f4718f70979008
web login failure,66,6889bae7a4f4718f70979009
atm card reader failure,6,6889bae7a4f4718f7097900a
fail ach payroll,39,6889bae7a4f4718f7097900b
suspicious login attempt,-1,6889bae7a4f4718f7097900c
branch network outage,3,6889bae7a4f4718f7097900d
loan report performance,72,6889bae7a4f4718f7097900e
android app crash,1,6889bae8a4f4718f7097900f
swift message validation,67,6889bae8a4f4718f70979010
system performance degradation,67,6889bae8a4f4718f70979011
pdf nickname display,80,6889bae8a4f4718f70979012
okta connection failure,50,6889bb16a4f4718f70979013
atm card reader failure,6,6889bb16a4f4718f70979014
ach payment failure,37,6889bb16a4f4718f70979015
suspicious login attempt,21,6889bb16a4f4718f70979016
database performance degradation,40,6889bb16a4f4718f70979017
mpls circuit latency,24,6889bb16a4f4718f70979018
mobile balance discrepancy,25,6889bb16a4f4718f70979019
report generation failure,14,6889bb16a4f4718f7097901a
api rate limiting,67,6889bb16a4f4718f7097901b
firefox font rendering,-1,6889bb16a4f4718f7097901c
duo authentication failure,-1,6889bb5ba4f4718f7097901d
atm card reader failure,6,6889bb5ba4f4718f7097901e
pvsm payment delay,67,6889bb5ba4f4718f7097901f
brute force attack,17,6889bb5ba4f4718f70979020
branch network latency,23,6889bb5ba4f4718f70979021
report generation delay,33,6889bb5ba4f4718f70979022
android app crash,1,6889bb5ca4f4718f70979023
cpu utilization spike,61,6889bb5ca4f4718f70979024
statement datum discrepancy,53,6889bb5ca4f4718f70979025
font rendering error,70,6889bb5ca4f4718f70979026
online login failure,62,6889bb9ba4f4718f70979027
ncr card reader failure,6,6889bb9ba4f4718f70979028
ach batch failure,44,6889bb9ba4f4718f70979029
cbs performance degradation,69,6889bb9ba4f4718f7097902a
brute force attack,17,6889bb9ca4f4718f7097902b
branch network outage,3,6889bb9ca4f4718f7097902c
push notification failure,67,6889bb9ca4f4718f7097902d
replication lag,55,6889bb9ca4f4718f7097902e
incorrect account statement,77,6889bb9ca4f4718f7097902f
firefox ui misalignment,74,6889bb9ca4f4718f70979030
horizon login failure,62,6889bbdea4f4718f70979031
atm card reader,6,6889bbdea4f4718f70979032
ach transfer failure,37,6889bbdfa4f4718f70979033
brute force attack,17,6889bbdfa4f4718f70979034
account summary api,71,6889bbdfa4f4718f70979035
branch network outage,3,6889bbdfa4f4718f70979036
billpay module crash,10,6889bbdfa4f4718f70979037
dwh connection failure,-1,6889bbdfa4f4718f70979038
voip quality,58,6889bbdfa4f4718f70979039
account nickname truncation,18,6889bbdfa4f4718f7097903a
webdirect login failure,65,6889bc1ea4f4718f7097903b
atm cash dispenser,7,6889bc1ea4f4718f7097903c
ach routing number,43,6889bc1ea4f4718f7097903d
database performance degradation,40,6889bc1ea4f4718f7097903e
suspicious login attempt,21,6889bc1ea4f4718f7097903f
branch network outage,3,6889bc1ea4f4718f70979040
mobile balance discrepancy,25,6889bc1ea4f4718f70979041
dtr generation failure,69,6889bc1ea4f4718f70979042
exchange online delay,11,6889bc1fa4f4718f70979043
chrome head distortion,66,6889bc1fa4f4718f70979044
online login failure,62,6889bc63a4f4718f70979045
atm deposit failure,-1,6889bc63a4f4718f70979046
ach payroll failure,39,6889bc64a4f4718f70979047
api performance degradation,67,6889bc64a4f4718f70979048
brute force attack,17,6889bc64a4f4718f70979049
branch network outage,3,6889bc64a4f4718f7097904a
mobile app crash,26,6889bc64a4f4718f7097904b
salesforce datum sync,67,6889bc64a4f4718f7097904c
transaction datum lock,48,6889bc64a4f4718f7097904d
date format bug,79,6889bc64a4f4718f7097904e
authsvc login failure,48,6889bca2a4f4718f7097904f
atm cash jam,7,6889bca2a4f4718f70979050
ach payment delay,16,6889bca3a4f4718f70979051
credential stuffing attack,29,6889bca3a4f4718f70979052
database performance degradation,40,6889bca3a4f4718f70979053
branch network latency,23,6889bca3a4f4718f70979054
android app crash,1,6889bca3a4f4718f70979055
report server failure,14,6889bca3a4f4718f70979056
