keyphrase,cluster_id,document_id,experiment_id
authsvc login failure,48,6889ba7ca4f4718f70978ff5,umap_1_hdbscan_3
atm card reader failure,6,6889ba7ea4f4718f70978ff6,umap_1_hdbscan_3
ach payroll failure,39,6889ba7ea4f4718f70978ff7,umap_1_hdbscan_3
fraudulent login attempt,20,6889ba7ea4f4718f70978ff8,umap_1_hdbscan_3
branch network outage,3,6889ba7ea4f4718f70978ff9,umap_1_hdbscan_3
android app crash,1,6889ba7ea4f4718f70978ffa,umap_1_hdbscan_3
loan report generation,72,6889ba7ea4f4718f70978ffb,umap_1_hdbscan_3
exchange online outage,11,6889ba7ea4f4718f70978ffc,umap_1_hdbscan_3
css styling error,73,6889ba7fa4f4718f70978ffd,umap_1_hdbscan_3
firewall log volume,49,6889ba7fa4f4718f70978ffe,umap_1_hdbscan_3
ldap query latency,42,6889bab4a4f4718f70978fff,umap_1_hdbscan_3
atm card retention,4,6889bab4a4f4718f70979000,umap_1_hdbscan_3
ach payroll failure,39,6889bab4a4f4718f70979001,umap_1_hdbscan_3
core banking slowdown,51,6889bab4a4f4718f70979002,umap_1_hdbscan_3
suspicious login activity,9,6889bab4a4f4718f70979003,umap_1_hdbscan_3
branch network outage,3,6889bab4a4f4718f70979004,umap_1_hdbscan_3
salesforce api timeout,67,6889bab4a4f4718f70979005,umap_1_hdbscan_3
report generation delay,33,6889bab4a4f4718f70979006,umap_1_hdbscan_3
mobile app alignment,26,6889bab4a4f4718f70979007,umap_1_hdbscan_3
audit log capacity,49,6889bab4a4f4718f70979008,umap_1_hdbscan_3
web login failure,66,6889bae7a4f4718f70979009,umap_1_hdbscan_3
atm card reader failure,6,6889bae7a4f4718f7097900a,umap_1_hdbscan_3
fail ach payroll,39,6889bae7a4f4718f7097900b,umap_1_hdbscan_3
suspicious login attempt,-1,6889bae7a4f4718f7097900c,umap_1_hdbscan_3
branch network outage,3,6889bae7a4f4718f7097900d,umap_1_hdbscan_3
