document_id,original_topic,processed_topic
6889bd02a4f4718f70979068,AML Alert Triggered,aml alert trigger
6889bea5a4f4718f709790af,AML Alert Triggered,aml alert trigger
6889bea6a4f4718f709790b2,AML Alert Triggered,aml alert trigger
6889bfbda4f4718f709790d3,AML Alert Triggered,aml alert trigger
6889c0cea4f4718f70979101,AML Alert Triggered,aml alert trigger
6889c173a4f4718f7097911c,AML Alert Triggered,aml alert trigger
688b6fd5f1207068bf7d71d0,AML Alert Triggered,aml alert trigger
688b7002f1207068bf7d71dd,AML Alert Triggered,aml alert trigger
688b71eff1207068bf7d723e,AML Alert Triggered,aml alert trigger
688b7217f1207068bf7d7249,AML Alert Triggered,aml alert trigger
688b7549f1207068bf7d7302,AML Alert Triggered,aml alert trigger
688b75d5f1207068bf7d731d,AML Alert Triggered,aml alert trigger
688b7cf7f1207068bf7d748a,AML Alert Triggered,aml alert trigger
688b7d4df1207068bf7d7498,AML Alert Triggered,aml alert trigger
688b8106f1207068bf7d7570,AML Alert Triggered,aml alert trigger
688b8bfaf1207068bf7d766a,AML Alert Triggered,aml alert trigger
6889bb16a4f4718f70979019,API Connection Failed,api connection fail
6889bdb2a4f4718f7097908c,API Connection Failed,api connection fail
6889c1d1a4f4718f70979127,API Connection Failed,api connection fail
6889c205a4f4718f70979130,API Connection Failed,api connection fail
6889c3bca4f4718f70979183,API Connection Failed,api connection fail
6889c643a4f4718f709791bc,API Connection Failed,api connection fail
688b6b44f1207068bf7d70cd,API Connection Failed,api connection fail
688b709cf1207068bf7d71fc,API Connection Failed,api connection fail
688b72bef1207068bf7d7276,API Connection Failed,api connection fail
688b73f5f1207068bf7d72ba,API Connection Failed,api connection fail
688b7f1cf1207068bf7d74f9,API Connection Failed,api connection fail
6889bd86a4f4718f70979086,Access Control Breach,access control breach
6889c04da4f4718f709790e7,Access Control Breach,access control breach
6889c642a4f4718f709791b8,Access Control Breach,access control breach
688b6b1af1207068bf7d70c5,Access Control Breach,access control breach
688b736ef1207068bf7d729c,Access Control Breach,access control breach
688b7549f1207068bf7d72fe,Access Control Breach,access control breach
688b776df1207068bf7d736c,Access Control Breach,access control breach
688b7aa8f1207068bf7d7413,Access Control Breach,access control breach
688b804ff1207068bf7d7546,Access Control Breach,access control breach
688b8b78f1207068bf7d7648,Access Control Breach,access control breach
6889bb16a4f4718f70979015,Access Token Expired,access token expire
6889bca2a4f4718f70979050,Access Token Expired,access token expire
6889bd27a4f4718f70979075,Access Token Expired,access token expire
6889c09ba4f4718f709790f8,Access Token Expired,access token expire
6889c205a4f4718f7097912e,Access Token Expired,access token expire
688b6dc8f1207068bf7d7165,Access Token Expired,access token expire
688b6eeef1207068bf7d719d,Access Token Expired,access token expire
688b7495f1207068bf7d72d7,Access Token Expired,access token expire
688b776df1207068bf7d7371,Access Token Expired,access token expire
688b7912f1207068bf7d73c3,Access Token Expired,access token expire
688b8961f1207068bf7d75d3,Access Token Expired,access token expire
6889bab4a4f4718f70979008,Account Closure Request,account closure request
6889bd4da4f4718f7097907e,Account Closure Request,account closure request
6889bd82a4f4718f70979081,Account Closure Request,account closure request
6889bee1a4f4718f709790b5,Account Closure Request,account closure request
6889c172a4f4718f70979118,Account Closure Request,account closure request
688b6c73f1207068bf7d7114,Account Closure Request,account closure request
688b6cccf1207068bf7d712d,Account Closure Request,account closure request
688b6eeff1207068bf7d71a5,Account Closure Request,account closure request
688b7194f1207068bf7d722f,Account Closure Request,account closure request
688b75a5f1207068bf7d7313,Account Closure Request,account closure request
688b779bf1207068bf7d7376,Account Closure Request,account closure request
688b7ef1f1207068bf7d74f2,Account Closure Request,account closure request
688b8bfaf1207068bf7d7665,Account Closure Request,account closure request
