document_id,original_topic,processed_topic
68a89e5db21812ca3cfb3611,Security Warning Call,security warning
68a89e5db21812ca3cfb3612,Standing Order Setup,standing order setup
68a89e5db21812ca3cfb3613,API Integration Support,api integration support
68a89e5db21812ca3cfb3614,Portfolio Review Call,portfolio review
68a89e5db21812ca3cfb3615,Customer Satisfaction Survey,customer satisfaction survey
68a89e5db21812ca3cfb3616,Payment Gateway Integration,payment gateway integration
68a89e5db21812ca3cfb3617,Business Continuity Planning,business continuity planning
68a89e5db21812ca3cfb3618,Trade Settlement Inquiry,trade settlement inquiry
68a89e5db21812ca3cfb3619,GDPR Rights Explanation,gdpr right explanation
68a89e5db21812ca3cfb361a,Mobile App Troubleshooting,mobile app troubleshoot
68a89e5db21812ca3cfb361b,Feature Enhancement Request,feature enhancement request
68a89e5db21812ca3cfb361c,Restructuring Consultation Call,restructure consultation
68a89e5db21812ca3cfb361d,Forex Trading Call,forex trading
68a89e5db21812ca3cfb361e,Credit Line Request,credit line request
68a89e5db21812ca3cfb361f,File Format Guidance,file format guidance
68a89e5db21812ca3cfb3620,Branch Service Inquiry,branch service inquiry
68a89e5db21812ca3cfb3621,Business Continuity Planning,business continuity planning
68a89e5db21812ca3cfb3622,Liquidity Management Call,liquidity management
68a89e5db21812ca3cfb3623,Relationship Manager Introduction,relationship manager introduction
68a89e5db21812ca3cfb3624,Signatory Change Request,signatory change request
68a89e5db21812ca3cfb3625,Due Diligence Assistance,diligence assistance
68a89e5db21812ca3cfb3626,Settlement Risk Analysis,settlement risk analysis
68a89e5db21812ca3cfb3627,Treasury Service Consultation,treasury service consultation
68a89e5db21812ca3cfb3628,Suspicious Activity Report,suspicious activity report
68a89e5db21812ca3cfb3629,Trade Documentation Inquiry,trade documentation inquiry
68a89e5db21812ca3cfb362a,Fee Structure Inquiry,fee structure inquiry
68a89e5db21812ca3cfb362b,Partnership Development Call,partnership development
68a89e5db21812ca3cfb362c,Account Reconciliation Discussion,account reconciliation discussion
68a89e5db21812ca3cfb362d,Financial Planning Consultation,financial planning consultation
68a89e5db21812ca3cfb362e,Account Statement Request,account statement request
68a89e5db21812ca3cfb362f,Account Suspension Notice,account suspension notice
68a89e5db21812ca3cfb3630,Merger Acquisition Support,merger acquisition support
68a89e5db21812ca3cfb3631,Version Update Information,version update information
68a89e5db21812ca3cfb3632,Contract Discussion Call,contract discussion
68a89e5db21812ca3cfb3633,Digital Banking Help,digital banking help
68a89e5db21812ca3cfb3634,Standing Order Setup,standing order setup
68a89e5db21812ca3cfb3635,Seminar Invitation Discussion,seminar invitation discussion
68a89e5db21812ca3cfb3636,Payment Cancellation Request,payment cancellation request
68a89e5db21812ca3cfb3637,Regulatory Compliance Question,regulatory compliance question
68a89e5db21812ca3cfb3638,Account Statement Request,account statement request
68a89e5db21812ca3cfb3639,Callback Scheduling Request,callback scheduling request
68a89e5db21812ca3cfb363a,Liquidity Management Call,liquidity management
68a89e5db21812ca3cfb363b,Investment Product Inquiry,investment product inquiry
68a89e5db21812ca3cfb363c,Payment Processing Inquiry,payment processing inquiry
68a89e5db21812ca3cfb363d,Workshop Registration Call,workshop registration
68a89e5db21812ca3cfb363e,Digital Banking Help,digital banking help
68a89e5db21812ca3cfb363f,Emergency Contact Call,emergency contact
68a89e5db21812ca3cfb3640,Operational Risk Assessment,operational risk assessment
68a89e5db21812ca3cfb3641,Fraud Alert Call,fraud alert
68a89e5db21812ca3cfb3642,Multi Currency Account,multi currency account
68a89e5db21812ca3cfb3643,Profile Update Request,profile update request
68a89e5db21812ca3cfb3644,Account Suspension Notice,account suspension notice
68a89e5db21812ca3cfb3645,Technical Support Request,technical support request
68a89e5db21812ca3cfb3646,Partnership Development Call,partnership development
68a89e5db21812ca3cfb3647,Account Closure Request,account closure request
68a89e5db21812ca3cfb3648,Workshop Registration Call,workshop registration
68a89e5db21812ca3cfb3649,Payment Processing Inquiry,payment processing inquiry
68a89e5db21812ca3cfb364a,Investment Product Inquiry,investment product inquiry
68a89e5db21812ca3cfb364b,Payment Delay Complaint,payment delay complaint
68a89e5db21812ca3cfb364c,Investment Advisory Call,investment advisory
68a89e5db21812ca3cfb364d,Fraud Alert Call,fraud alert
68a89e5db21812ca3cfb364e,Compliance Training Call,compliance training
68a89e5db21812ca3cfb364f,Bank Guarantee Inquiry,bank guarantee inquiry
68a89e5db21812ca3cfb3650,Recovery Planning Assistance,recovery planning assistance
68a89e5db21812ca3cfb3651,PSD2 Authorization Discussion,psd2 authorization discussion
68a89e5db21812ca3cfb3652,Security Breach Report,security breach report
68a89e5db21812ca3cfb3653,Urgent Payment Request,urgent payment request
68a89e5db21812ca3cfb3654,Urgent Payment Request,urgent payment request
68a89e5db21812ca3cfb3655,Service Interruption Notice,service interruption notice
68a89e5db21812ca3cfb3656,AML Inquiry Discussion,aml inquiry discussion
68a89e5db21812ca3cfb3657,Customer Retention Call,customer retention
68a89e5db21812ca3cfb3658,Account Update Call,account update
68a89e5db21812ca3cfb3659,Product Information Inquiry,product information inquiry
68a89e5db21812ca3cfb365a,Emergency Contact Call,emergency contact
68a89e5db21812ca3cfb365b,Fee Structure Inquiry,fee structure inquiry
68a89e5db21812ca3cfb365c,Economic Update Discussion,economic update discussion
68a89e5db21812ca3cfb365d,Letter Credit Discussion,letter credit discussion
68a89e5db21812ca3cfb365e,Due Diligence Assistance,diligence assistance
68a89e5db21812ca3cfb365f,Trade Settlement Inquiry,trade settlement inquiry
68a89e5db21812ca3cfb3660,Emergency Contact Call,emergency contact
68a89e5db21812ca3cfb3661,Risk Management Discussion,risk management discussion
68a89e5db21812ca3cfb3662,Business Continuity Planning,business continuity planning
68a89e5db21812ca3cfb3663,Investment Product Inquiry,investment product inquiry
68a89e5db21812ca3cfb3664,Document Upload Assistance,document upload assistance
68a89e5db21812ca3cfb3665,Investment Product Inquiry,investment product inquiry
68a89e5db21812ca3cfb3666,Multi Currency Account,multi currency account
68a89e5db21812ca3cfb3667,Forex Trading Call,forex trading
68a89e5db21812ca3cfb3668,System Upgrade Notice,system upgrade notice
68a89e5db21812ca3cfb3669,Compliance Training Call,compliance training
68a89e5db21812ca3cfb366a,Feature Enhancement Request,feature enhancement request
68a89e5db21812ca3cfb366b,Accounting Integration Help,accounting integration help
68a89e5db21812ca3cfb366c,Account Recovery Process,account recovery process
68a89e5db21812ca3cfb366d,Forex Trading Call,forex trading
68a89e5db21812ca3cfb366e,Fraud Alert Call,fraud alert
68a89e5db21812ca3cfb366f,Escalation Management Request,escalation management request
68a89e5db21812ca3cfb3670,Accounting Integration Help,accounting integration help
68a89e5db21812ca3cfb3671,Data Protection Discussion,datum protection discussion
68a89e5db21812ca3cfb3672,Card Activation Call,card activation
68a89e5db21812ca3cfb3673,Internal Control Discussion,internal control discussion
68a89e5db21812ca3cfb3674,Internal Control Discussion,internal control discussion
68a89e5eb21812ca3cfb3675,Business Expansion Discussion,business expansion discussion
68a89e5eb21812ca3cfb3676,Recovery Planning Assistance,recovery planning assistance
68a89e5eb21812ca3cfb3677,Forex Trading Call,forex trading
68a89e5eb21812ca3cfb3678,Payment Processing Inquiry,payment processing inquiry
68a89e5eb21812ca3cfb3679,Training Session Scheduling,training session scheduling
68a89e5eb21812ca3cfb367a,Budget Management Assistance,budget management assistance
68a89e5eb21812ca3cfb367b,Document Upload Assistance,document upload assistance
68a89e5eb21812ca3cfb367c,Relationship Manager Introduction,relationship manager introduction
68a89e5eb21812ca3cfb367d,Risk Disclosure Discussion,risk disclosure discussion
68a89e5eb21812ca3cfb367e,Operational Risk Assessment,operational risk assessment
68a89e5eb21812ca3cfb367f,Version Update Information,version update information
68a89e5eb21812ca3cfb3680,Regulatory Compliance Question,regulatory compliance question
68a89e5eb21812ca3cfb3681,Account Closure Request,account closure request
68a89e5eb21812ca3cfb3682,Transaction History Inquiry,transaction history inquiry
68a89e5eb21812ca3cfb3683,Settlement Risk Analysis,settlement risk analysis
68a89e5eb21812ca3cfb3684,Market Risk Discussion,market risk discussion
68a89e5eb21812ca3cfb3685,Fraud Alert Call,fraud alert
68a89e5eb21812ca3cfb3686,AML Inquiry Discussion,aml inquiry discussion
68a89e5eb21812ca3cfb3687,Document Upload Assistance,document upload assistance
68a89e5eb21812ca3cfb3688,Risk Management Discussion,risk management discussion
68a89e5eb21812ca3cfb3689,API Integration Support,api integration support
68a89e5eb21812ca3cfb368a,Payment Authorization Request,payment authorization request
68a89e5eb21812ca3cfb368b,Disaster Recovery Discussion,disaster recovery discussion
68a89e5eb21812ca3cfb368c,Source Funds Verification,source fund verification
68a89e5eb21812ca3cfb368d,Credit Assessment Discussion,credit assessment discussion
68a89e5eb21812ca3cfb368e,Corporate Card Request,corporate card request
68a89e5eb21812ca3cfb368f,Service Interruption Notice,service interruption notice
68a89e5eb21812ca3cfb3690,Governance Review Meeting,governance review meeting
68a89e5eb21812ca3cfb3691,Economic Update Discussion,economic update discussion
68a89e5eb21812ca3cfb3692,Industry Update Call,industry update
68a89e5eb21812ca3cfb3693,Regulatory Compliance Question,regulatory compliance question
68a89e5eb21812ca3cfb3694,Industry Update Call,industry update
68a89e5eb21812ca3cfb3695,Security Breach Report,security breach report
68a89e5eb21812ca3cfb3696,Account Suspension Notice,account suspension notice
68a89e5eb21812ca3cfb3697,Version Update Information,version update information
68a89e5eb21812ca3cfb3698,Beneficial Ownership Discussion,beneficial ownership discussion
68a89e5eb21812ca3cfb3699,Client Categorization Review,client categorization review
68a89e5eb21812ca3cfb369a,Account Closure Request,account closure request
68a89e5eb21812ca3cfb369b,Credit Facility Inquiry,credit facility inquiry
68a89e5eb21812ca3cfb369c,MiFID II Consultation,mifid ii consultation
68a89e5eb21812ca3cfb369d,Payment Delay Complaint,payment delay complaint
68a89e5eb21812ca3cfb369e,Fraud Prevention Discussion,fraud prevention discussion
68a89e5eb21812ca3cfb369f,ERP System Connection,erp system connection
68a89e5eb21812ca3cfb36a0,Process Explanation Call,process explanation
68a89e5eb21812ca3cfb36a1,Multi Currency Account,multi currency account
68a89e5eb21812ca3cfb36a2,IT Infrastructure Support,infrastructure support
68a89e5eb21812ca3cfb36a3,Enhanced Due Diligence,enhance diligence
68a89e5eb21812ca3cfb36a4,Complaint Follow Up,complaint follow
68a89e5eb21812ca3cfb36a5,Cross Selling Conversation,cross sell conversation
68a89e5eb21812ca3cfb36a6,Cash Management Consultation,cash management consultation
68a89e5eb21812ca3cfb36a7,Card Activation Call,card activation
68a89e5eb21812ca3cfb36a8,Direct Debit Setup,direct debit setup
68a89e5eb21812ca3cfb36a9,Transaction History Inquiry,transaction history inquiry
68a89e5eb21812ca3cfb36aa,Account Reconciliation Discussion,account reconciliation discussion
68a89e5eb21812ca3cfb36ab,AML Inquiry Discussion,aml inquiry discussion
68a89e5eb21812ca3cfb36ac,Relationship Manager Introduction,relationship manager introduction
68a89e5eb21812ca3cfb36ad,Escalation Management Request,escalation management request
68a89e5eb21812ca3cfb36ae,Urgent Payment Request,urgent payment request
68a89e5eb21812ca3cfb36af,Budget Management Assistance,budget management assistance
68a89e5eb21812ca3cfb36b0,Business Expansion Discussion,business expansion discussion
68a89e5eb21812ca3cfb36b1,Complaint Escalation Request,complaint escalation request
68a89e5eb21812ca3cfb36b2,Crisis Management Support,crisis management support
68a89e5eb21812ca3cfb36b3,Document Upload Assistance,document upload assistance
68a89e5eb21812ca3cfb36b4,Financial Planning Consultation,financial planning consultation
68a89e5eb21812ca3cfb36b5,Disaster Recovery Discussion,disaster recovery discussion
68a89e5eb21812ca3cfb36b6,Settlement Risk Analysis,settlement risk analysis
68a89e5eb21812ca3cfb36b7,Insolvency Advice Discussion,insolvency advice discussion
68a89e5eb21812ca3cfb36b8,IT Infrastructure Support,infrastructure support
68a89e5eb21812ca3cfb36b9,System Maintenance Notice,system maintenance notice
68a89e5eb21812ca3cfb36ba,Investment Advisory Call,investment advisory
68a89e5eb21812ca3cfb36bb,Partnership Development Call,partnership development
68a89e5eb21812ca3cfb36bc,Data Protection Discussion,datum protection discussion
68a89e5eb21812ca3cfb36bd,Version Update Information,version update information
68a89e5eb21812ca3cfb36be,Service Quality Complaint,service quality complaint
68a89e5eb21812ca3cfb36bf,Compliance Training Call,compliance training
68a89e5eb21812ca3cfb36c0,Enhanced Due Diligence,enhance diligence
68a89e5eb21812ca3cfb36c1,Bank Guarantee Inquiry,bank guarantee inquiry
68a89e5eb21812ca3cfb36c2,Advisory Service Request,advisory service request
68a89e5eb21812ca3cfb36c3,Compliance Information Call,compliance information
68a89e5eb21812ca3cfb36c4,Suitability Assessment Call,suitability assessment
68a89e5eb21812ca3cfb36c5,Credit Assessment Discussion,credit assessment discussion
68a89e5eb21812ca3cfb36c6,Batch Processing Assistance,batch processing assistance
68a89e5eb21812ca3cfb36c7,Valuation Service Inquiry,valuation service inquiry
68a89e5eb21812ca3cfb36c8,Service Availability Question,service availability question
68a89e5eb21812ca3cfb36c9,Fee Dispute Discussion,fee dispute discussion
68a89e5eb21812ca3cfb36ca,Service Availability Question,service availability question
68a89e5eb21812ca3cfb36cb,Platform Navigation Help,platform navigation help
68a89e5eb21812ca3cfb36cc,Fee Structure Inquiry,fee structure inquiry
68a89e5eb21812ca3cfb36cd,Branch Service Inquiry,branch service inquiry
68a89e5eb21812ca3cfb36ce,Credit Facility Inquiry,credit facility inquiry
68a89e5eb21812ca3cfb36cf,Account Recovery Process,account recovery process
68a89e5eb21812ca3cfb36d0,Settlement Risk Analysis,settlement risk analysis
68a89e5eb21812ca3cfb36d1,Account Opening Process,account opening process
68a89e5eb21812ca3cfb36d2,Business Continuity Planning,business continuity planning
68a89e5eb21812ca3cfb36d3,Market Information Request,market information request
68a89e5eb21812ca3cfb36d4,Payment Problem Discussion,payment problem discussion
68a89e5eb21812ca3cfb36d5,ERP System Connection,erp system connection
68a89e5eb21812ca3cfb36d6,Batch Processing Assistance,batch processing assistance
68a89e5eb21812ca3cfb36d7,Treasury Service Consultation,treasury service consultation
68a89e5eb21812ca3cfb36d8,Training Session Scheduling,training session scheduling
68a89e5eb21812ca3cfb36d9,Credit Risk Evaluation,credit risk evaluation
68a89e5eb21812ca3cfb36da,Portfolio Review Call,portfolio review
68a89e5eb21812ca3cfb36db,Urgent Payment Request,urgent payment request
68a89e5eb21812ca3cfb36dc,Payment Gateway Integration,payment gateway integration
68a89e5eb21812ca3cfb36dd,Payroll Service Discussion,payroll service discussion
68a89e5eb21812ca3cfb36de,Networking Event Information,network event information
68a89e5eb21812ca3cfb36df,Economic Update Discussion,economic update discussion
68a89e5eb21812ca3cfb36e0,Settlement Risk Analysis,settlement risk analysis
68a89e5eb21812ca3cfb36e1,Fee Structure Inquiry,fee structure inquiry
68a89e5eb21812ca3cfb36e2,Account Reconciliation Discussion,account reconciliation discussion
68a89e5eb21812ca3cfb36e3,Process Explanation Call,process explanation
68a89e5eb21812ca3cfb36e4,Market Information Request,market information request
68a89e5eb21812ca3cfb36e5,Crisis Management Support,crisis management support
68a89e5eb21812ca3cfb36e6,IT Infrastructure Support,infrastructure support
