dominant_topic,total_records,message_split,stages,category
ACH Processing Error,13,"1:2, 3:2, 4:5, 6:3, 8:1","1:1|Resolved,1|Update, 3:1|Authenticate,1|Escalation, 4:1|Categorize,1|Escalation,1|Resolution,1|Resolved,1|Update, 6:1|Resolution,2|Update, 8:1|Update","1:2|External, 3:2|External, 4:5|External, 6:3|External, 8:1|External"
AML Documentation Request,13,"1:1, 3:3, 4:1, 6:4, 8:4","1:1|Resolution, 3:2|Resolution,1|Resolved, 4:1|Escalation, 6:1|Escalation,1|Resolution,1|Resolved,1|Update, 8:2|Authenticate,1|Resolution,1|Resolved","1:1|External, 3:3|External, 4:1|External, 6:4|External, 8:4|External"
API Connectivity Issue,17,"1:3, 3:4, 4:5, 6:5","1:1|Receive,2|Resolved, 3:1|Resolved,3|Update, 4:1|Escalation,2|Resolution,2|Resolved, 6:1|Categorize,1|Escalation,1|Resolution,2|Resolved","1:3|External, 3:4|External, 4:5|External, 6:5|External"
ATM Network Problem,9,"1:2, 4:2, 6:2, 8:3","1:2|Resolved, 4:1|Categorize,1|Update, 6:1|Escalation,1|Resolved, 8:1|Close,1|Escalation,1|Resolution","1:2|External, 4:2|External, 6:2|External, 8:3|External"
Account Access Error,19,"1:1, 3:9, 4:1, 6:6, 8:2","1:1|Resolved, 3:1|Categorize,2|Close,1|Receive,1|Resolution,2|Resolved,2|Update, 4:1|Resolved, 6:1|Categorize,3|Escalation,1|Resolved,1|Update, 8:2|Update","1:1|External, 3:9|External, 4:1|External, 6:6|External, 8:2|External"
Account Opening Issue,18,"1:2, 3:4, 4:6, 6:3, 8:3","1:1|Close,1|Resolved, 3:3|Resolution,1|Resolved, 4:1|Resolution,3|Resolved,2|Update, 6:2|Escalation,1|Resolution, 8:1|Resolution,2|Resolved","1:2|External, 3:4|External, 4:6|External, 6:3|External, 8:3|External"
Approval Required,12,"1:2, 3:7, 6:2, 8:1","1:1|Authenticate,1|Categorize, 3:1|Categorize,1|Escalation,1|Report,1|Resolution,1|Resolved,2|Update, 6:2|Update, 8:1|Resolution","1:2|Internal, 3:7|Internal, 6:2|Internal, 8:1|Internal"
Asset Management Issue,7,"1:1, 3:2, 4:2, 6:1, 8:1","1:1|Categorize, 3:1|Categorize,1|Update, 4:1|Resolved,1|Update, 6:1|Resolved, 8:1|Resolved","1:1|External, 3:2|External, 4:2|External, 6:1|External, 8:1|External"
Audit Firm Communication,9,"1:2, 3:3, 4:1, 6:1, 8:2","1:2|Resolved, 3:1|Categorize,1|Receive,1|Resolution, 4:1|Resolution, 6:1|Categorize, 8:1|Categorize,1|Update","1:2|External, 3:3|External, 4:1|External, 6:1|External, 8:2|External"
Audit Trail Need,11,"1:1, 3:3, 4:3, 6:3, 8:1","1:1|Resolved, 3:1|Resolved,2|Update, 4:1|Close,1|Resolution,1|Resolved, 6:2|Escalation,1|Update, 8:1|Update","1:1|External, 3:3|External, 4:3|External, 6:3|External, 8:1|External"
Authentication Problem Report,11,"1:1, 3:1, 4:5, 6:2, 8:2","1:1|Report, 3:1|Resolution, 4:1|Escalation,1|Report,1|Resolved,2|Update, 6:1|Escalation,1|Resolved, 8:1|Escalation,1|Resolution","1:1|External, 3:1|External, 4:5|External, 6:2|External, 8:2|External"
Balance Inquiry Problem,8,"3:3, 4:3, 6:1, 8:1","3:2|Resolved,1|Update, 4:2|Resolved,1|Update, 6:1|Escalation, 8:1|Update","3:3|External, 4:3|External, 6:1|External, 8:1|External"
Basel III Requirement,11,"3:2, 4:2, 6:5, 8:2","3:1|Categorize,1|Update, 4:1|Resolution,1|Update, 6:1|Categorize,3|Escalation,1|Resolved, 8:2|Close","3:2|External, 4:2|External, 6:5|External, 8:2|External"
Beneficial Ownership Declaration,8,"1:1, 3:2, 4:2, 6:1, 8:2","1:1|Resolved, 3:1|Close,1|Resolved, 4:2|Update, 6:1|Update, 8:1|Escalation,1|Update","1:1|External, 3:2|External, 4:2|External, 6:1|External, 8:2|External"
Beneficiary Bank Unavailable,5,"1:1, 3:1, 6:2, 8:1","1:1|Categorize, 3:1|Resolved, 6:1|Escalation,1|Resolution, 8:1|Escalation","1:1|External, 3:1|External, 6:2|External, 8:1|External"
Best Execution Report,13,"1:1, 3:3, 4:2, 6:2, 8:5","1:1|Resolved, 3:1|Close,2|Resolved, 4:1|Resolved,1|Update, 6:1|Escalation,1|Resolved, 8:2|Close,2|Escalation,1|Resolved","1:1|External, 3:3|External, 4:2|External, 6:2|External, 8:5|External"
Bond Trading Problem,8,"1:1, 3:2, 4:2, 6:1, 8:2","1:1|Resolved, 3:2|Resolved, 4:1|Escalation,1|Resolution, 6:1|Escalation, 8:1|Escalation,1|Update","1:1|External, 3:2|External, 4:2|External, 6:1|External, 8:2|External"
Branch Service Complaint,6,"3:2, 4:3, 6:1","3:2|Resolution, 4:1|Escalation,1|Resolution,1|Resolved, 6:1|Escalation","3:2|External, 4:3|External, 6:1|External"
CRS Reporting Question,19,"1:1, 3:7, 4:4, 6:4, 8:3","1:1|Update, 3:1|Categorize,2|Report,1|Resolution,1|Resolved,2|Update, 4:2|Authenticate,2|Resolved, 6:1|Resolution,2|Resolved,1|Update, 8:1|Escalation,2|Resolved","1:1|External, 3:7|External, 4:4|External, 6:4|External, 8:3|External"
Card Network Issue,13,"1:3, 4:2, 6:5, 8:3","1:1|Resolution,2|Resolved, 4:1|Resolution,1|Resolved, 6:1|Categorize,2|Escalation,2|Update, 8:1|Escalation,1|Resolution,1|Update","1:3|External, 4:2|External, 6:5|External, 8:3|External"
Card Payment Dispute,14,"3:3, 4:3, 6:4, 8:4","3:1|Resolution,1|Resolved,1|Update, 4:1|Resolution,2|Resolved, 6:1|Escalation,1|Resolution,1|Resolved,1|Update, 8:1|Escalation,1|Resolution,2|Update","3:3|External, 4:3|External, 6:4|External, 8:4|External"
Cash Flow Issue,8,"1:2, 4:1, 6:4, 8:1","1:2|Resolved, 4:1|Update, 6:2|Escalation,1|Resolution,1|Resolved, 8:1|Resolved","1:2|External, 4:1|External, 6:4|External, 8:1|External"
Cash Management Issue,10,"1:2, 3:3, 4:2, 6:2, 8:1","1:1|Resolved,1|Update, 3:3|Resolution, 4:1|Close,1|Resolved, 6:1|Escalation,1|Update, 8:1|Escalation","1:2|External, 3:3|External, 4:2|External, 6:2|External, 8:1|External"
