Dominant_topic,Subtopics
Balance Inquiry Call,"Account Balance Request, Transaction History Review, Statement Explanation, Currency Conversion Question"
Payment Problem Discussion,"Transfer Failure Complaint, Delay Explanation Request, Error Resolution Need, Refund Status Inquiry, Fee Dispute Question"
System Access Help,"Login Troubleshooting Assistance, Password Reset Guidance, Authentication Error Resolution, Account Unlock Request"
Compliance Information Call,"GDPR Rights Explanation, KYC Document Discussion, AML Verification Process, Consent Management Guidance"
Complaint Escalation Request,"Service Quality Complaint, Management Involvement Request, Resolution Timeline Demand, Regulatory Threat Mention"
Product Information Inquiry,"Cash Management Options, Treasury Service Explanation, Digital Platform Features, Pricing Structure Questions"
Trade Finance Consultation,"Letter Credit Process, Documentary Collection Guidance, Export Financing Options, Documentation Requirements Discussion"
Account Opening Process,"New Account Application, Product Selection Guidance, Requirement Verification Process, Application Status Update, Documentation Checklist Review"
Card Service Request,"Corporate Card Activation, PIN Reset Request, Limit Increase Discussion, Dispute Filing Process"
Transfer Instruction Call,"Wire Transfer Setup, SEPA Payment Guidance, Beneficiary Verification Process, International Transfer Fees, Processing Timeline Information"
Fee Dispute Discussion,"Unexpected Charge Complaint, Billing Error Discussion, Refund Request Process, Pricing Clarification Demand"
Technical Support Request,"Platform Navigation Assistance, System Error Resolution, Feature Explanation Request, Browser Compatibility Help, Performance Issue Report"
Authentication Assistance Call,"Multi Factor Setup, Token Replacement Request, Biometric Registration Help, Security Key Configuration"
Documentation Request Discussion,"Enhanced Due Diligence, Document Submission Request, Verification Timeline Discussion, Compliance Status Update, Risk Assessment Results"
Account Closure Request,"Account Termination Process, Final Balance Transfer, Documentation Requirements Discussion, Retention Offer Presentation, Closure Timeline Confirmation"
Standing Order Setup,"Recurring Payment Creation, Modification Request Discussion, Cancellation Process Guidance, Payment Schedule Review, Authorization Setup"
GDPR Rights Explanation,"Personal Data Rights, Deletion Request Process, Data Portability Question, Consent Withdrawal Discussion, Processing Explanation"
KYC Verification Call,"Identity Verification Request, Document Authentication Process, Beneficial Ownership Discussion, Due Diligence Requirements, Timeline Explanation"
Password Reset Assistance,"Password Recovery Process, Security Question Reset, Account Access Restoration, Temporary Password Provision"
