x,y,cluster,keyphrase,document_id
5.14385,-4.3556027,8,recur charge inquiry,688da4a756cd4d67b0bf9fcf
1.8874627,-12.372458,1,direct deposit delay,688da4a756cd4d67b0bf9fd0
-8.907696,9.011332,0,direct debit issue,688da4a756cd4d67b0bf9fd1
15.588938,5.3733687,4,fraudulent transaction dispute,688da4a756cd4d67b0bf9fd2
4.4280977,-4.15116,13,pende deposit inquiry,688da4a756cd4d67b0bf9fd3
4.0594134,-1.4034085,-1,online access block,688da4a756cd4d67b0bf9fd4
6.907186,19.449795,3,fraudulent charge dispute,688da4a756cd4d67b0bf9fd5
6.8768806,19.668398,3,fraudulent charge dispute,688da4a756cd4d67b0bf9fd6
1.6372024,-12.400854,1,direct deposit delay,688da4a756cd4d67b0bf9fd7
6.7246356,19.916128,3,fraudulent charge dispute,688da4a756cd4d67b0bf9fd8
-8.463246,9.123611,0,direct debit failure,688da4a756cd4d67b0bf9fd9
1.5218496,-13.41015,2,direct deposit issue,688da4a756cd4d67b0bf9fda
2.51515,-4.110117,5,fail direct debit,688da4a756cd4d67b0bf9fdb
10.125784,-7.366563,-1,unauthorized transaction dispute,688da4a856cd4d67b0bf9fdc
1.9381905,-0.89764243,9,debit rejection issue,688da4a856cd4d67b0bf9fdd
6.7349997,19.929087,3,fraudulent charge dispute,688da4a856cd4d67b0bf9fde
1.2620205,-13.484331,2,direct deposit issue,688da4a856cd4d67b0bf9fdf
3.413853,-1.4343454,7,card issue resolution,688da4a856cd4d67b0bf9fe0
4.0621715,-1.4008541,-1,online access block,688da4a856cd4d67b0bf9fe1
5.8213143,-1.6466646,13,deposit posting delay,688da4a856cd4d67b0bf9fe2
9.726008,-6.949208,-1,unauthorized charge dispute,688da4a856cd4d67b0bf9fe3
6.5090837,19.913744,3,fraudulent charge dispute,688da4a856cd4d67b0bf9fe4
6.858302,19.934269,3,fraudulent charge dispute,688da4a856cd4d67b0bf9fe5
1.2305403,-12.7619505,1,direct deposit delay,688da4a856cd4d67b0bf9fe6
-8.905554,9.2883415,0,direct debit issue,688da4a856cd4d67b0bf9fe7
6.778513,19.509645,3,fraudulent charge dispute,688da4a856cd4d67b0bf9fe8
9.467943,-7.231988,11,unauthorized charge inquiry,688da4a856cd4d67b0bf9fe9
-8.61878,9.493949,0,direct debit failure,688da4a856cd4d67b0bf9fea
1.5254694,-12.885962,1,direct deposit delay,688da4a856cd4d67b0bf9feb
1.7250228,-12.979519,1,direct deposit delay,688da4a856cd4d67b0bf9fec
6.1681104,19.673296,3,fraudulent charge inquiry,688da4a856cd4d67b0bf9fed
5.4029784,-3.4822085,10,mortgage payment pende,688da4a856cd4d67b0bf9fee
1.9700037,-0.9545722,9,lose debit card,688da4a856cd4d67b0bf9fef
1.7329502,-12.559759,1,direct deposit delay,688da4a856cd4d67b0bf9ff0
2.7942383,-1.3394105,7,card decline issue,688da4a856cd4d67b0bf9ff1
1.3930166,-13.240318,2,direct deposit issue,688da4a856cd4d67b0bf9ff2
9.2346735,-7.204424,-1,unauthorized charge dispute,688da4a956cd4d67b0bf9ff3
3.573317,-3.3807938,14,upi transfer failure,688da4a956cd4d67b0bf9ff4
9.4962635,-7.0059257,11,unauthorized charge dispute,688da4a956cd4d67b0bf9ff5
10.187804,-7.331365,-1,unauthorized transaction dispute,688da4a956cd4d67b0bf9ff6
10.182445,-6.921039,-1,online fraud dispute,688da4a956cd4d67b0bf9ff7
1.4578296,-12.321433,1,direct deposit delay,688da4a956cd4d67b0bf9ff8
5.6176763,-4.489557,8,charge recognition inquiry,688da4a956cd4d67b0bf9ff9
