document_id,original_topic,processed_topic
68a8525133508dc58e3ead33,Financial Reporting Procedure,financial reporting procedure
68a8525133508dc58e3ead34,Software Issue Resolution,software issue resolution
68a8525133508dc58e3ead35,Audit Feedback Review,audit feedback review
68a8525233508dc58e3ead36,Employee Relations Coordination,employee relation coordination
68a8525233508dc58e3ead37,Risk Assessment Update,risk assessment update
68a8525333508dc58e3ead38,GDPR Access Request,gdpr access request
68a8525333508dc58e3ead39,Workforce Planning Update,workforce planning update
68a8525333508dc58e3ead3a,Pipeline Management Discussion,pipeline management discussion
68a8525433508dc58e3ead3b,Network Performance Issue,network performance issue
68a8525433508dc58e3ead3c,Workforce Planning Update,workforce planning update
68a8525533508dc58e3ead3d,Audit Planning Coordination,audit plan coordination
68a8525533508dc58e3ead3e,Audit Feedback Review,audit feedback review
68a8525533508dc58e3ead3f,Team Coordination Update,team coordination update
68a8525633508dc58e3ead40,Monthly Compliance Audit,monthly compliance audit
68a8525633508dc58e3ead41,Audit Feedback Review,audit feedback review
68a8525733508dc58e3ead42,Shift Coverage Request,shift coverage request
68a8525733508dc58e3ead43,Audit Feedback Review,audit feedback review
68a8525733508dc58e3ead44,Software Issue Resolution,software issue resolution
68a8525833508dc58e3ead45,Employee Relations Coordination,employee relation coordination
68a8525833508dc58e3ead46,Risk Assessment Documentation,risk assessment documentation
68a8525833508dc58e3ead47,Hardware Troubleshooting Help,hardware troubleshooting help
68a8525933508dc58e3ead48,Authentication Service Down,authentication service
68a8525933508dc58e3ead49,Customer Insight Report,customer insight report
68a8525933508dc58e3ead4a,Documentation Request Alert,documentation request alert
68a8525a33508dc58e3ead4b,Employee Relations Coordination,employee relation coordination
68a8525a33508dc58e3ead4c,Audit Finding Resolution,audit find resolution
68a8525b33508dc58e3ead4d,Compliance Training Reminder,compliance training reminder
68a8525b33508dc58e3ead4e,GDPR Access Request,gdpr access request
68a8525b33508dc58e3ead4f,Technology Rollout Update,technology rollout update
68a8525c33508dc58e3ead50,Compliance Report Generation,compliance report generation
68a8525c33508dc58e3ead51,Attendance Management Alert,attendance management alert
68a8525c33508dc58e3ead52,Policy Clarification Request,policy clarification request
68a8525d33508dc58e3ead53,Break Schedule Coordination,break schedule coordination
68a8525d33508dc58e3ead54,Team Coordination Update,team coordination update
68a8525d33508dc58e3ead55,Monthly Compliance Audit,monthly compliance audit
68a8525e33508dc58e3ead56,Audit Planning Coordination,audit plan coordination
68a8525e33508dc58e3ead57,Break Schedule Coordination,break schedule coordination
68a8525f33508dc58e3ead58,Security Protocol Change,security protocol change
68a8525f33508dc58e3ead59,Budget Management Discussion,budget management discussion
68a8525f33508dc58e3ead5a,Technology Provider Communication,technology provider communication
68a8526033508dc58e3ead5b,Audit Feedback Review,audit feedback review
68a8526033508dc58e3ead5c,Pipeline Management Discussion,pipeline management discussion
68a8526033508dc58e3ead5d,Overtime Approval Need,overtime approval need
68a8526133508dc58e3ead5e,Training Schedule Update,training schedule update
68a8526133508dc58e3ead5f,Audit Feedback Review,audit feedback review
68a8526233508dc58e3ead60,Pipeline Management Discussion,pipeline management discussion
68a8526233508dc58e3ead61,Team Meeting Reminder,team meet reminder
68a8526233508dc58e3ead62,Product Update Communication,product update communication
68a8526333508dc58e3ead63,Shift Coverage Request,shift coverage request
68a8526333508dc58e3ead64,Product Update Communication,product update communication
68a8526433508dc58e3ead65,Workflow Optimization Alert,workflow optimization alert
68a8526433508dc58e3ead66,Documentation Request Alert,documentation request alert
68a8526433508dc58e3ead67,Cross-Department Project Update,cross department project update
68a8526533508dc58e3ead68,Audit Planning Coordination,audit plan coordination
68a8526533508dc58e3ead69,Network Performance Issue,network performance issue
68a8526533508dc58e3ead6a,Customer Insight Report,customer insight report
68a8526633508dc58e3ead6b,Financial Reporting Procedure,financial reporting procedure
68a8526633508dc58e3ead6c,Technology Provider Communication,technology provider communication
68a8526633508dc58e3ead6d,Performance Metric Tracking,performance metric tracking
68a8526733508dc58e3ead6e,Performance Metric Tracking,performance metric tracking
68a8526733508dc58e3ead6f,Performance Metric Tracking,performance metric tracking
68a8526833508dc58e3ead70,Leave Request Approval,leave request approval
68a8526833508dc58e3ead71,Software Issue Resolution,software issue resolution
68a8526833508dc58e3ead72,Financial Reporting Procedure,financial reporting procedure
68a8526933508dc58e3ead73,Audit Feedback Review,audit feedback review
68a8526933508dc58e3ead74,Authentication Service Down,authentication service
68a8526933508dc58e3ead75,Hardware Troubleshooting Help,hardware troubleshooting help
68a8526a33508dc58e3ead76,Documentation Request Alert,documentation request alert
68a8526a33508dc58e3ead77,Control Testing Validation,control testing validation
68a8526b33508dc58e3ead78,Business Continuity Activation,business continuity activation
68a8526b33508dc58e3ead79,Attendance Management Alert,attendance management alert
68a8526b33508dc58e3ead7a,Regulatory Response Management,regulatory response management
68a8526c33508dc58e3ead7b,Leave Request Approval,leave request approval
68a8526c33508dc58e3ead7c,Audit Planning Coordination,audit plan coordination
68a8526c33508dc58e3ead7d,Case Management Discussion,case management discussion
68a8526d33508dc58e3ead7e,Employee Relations Coordination,employee relation coordination
68a8526d33508dc58e3ead7f,Application Server Warning,application server warning
68a8526d33508dc58e3ead80,Risk Assessment Update,risk assessment update
68a8526e33508dc58e3ead81,Database Access Problem,database access problem
68a8526e33508dc58e3ead82,Control Testing Validation,control testing validation
68a8526e33508dc58e3ead83,Business Continuity Activation,business continuity activation
68a8526f33508dc58e3ead84,Product Update Communication,product update communication
68a8526f33508dc58e3ead85,Performance Review Planning,performance review planning
68a8526f33508dc58e3ead86,Campaign Coordination Discussion,campaign coordination discussion
68a8527033508dc58e3ead87,Account Access Problem,account access problem
68a8527033508dc58e3ead88,Shift Coverage Request,shift coverage request
68a8527133508dc58e3ead89,Audit Finding Resolution,audit find resolution
