keyphrase,cluster_id,document_id,experiment_id
fraudulent wire transfer,8,688b0e9d0110d1205b4919d3,umap_1_hdbscan_3
fraud system update,0,688b0f250110d1205b4919d4,umap_1_hdbscan_3
fraud system upgrade,15,688b0f250110d1205b4919d6,umap_1_hdbscan_3
core banking upgrade,23,688b0f250110d1205b4919db,umap_1_hdbscan_3
fraud detection update,7,688b0f250110d1205b4919dd,umap_1_hdbscan_3
phishe attack mitigation,24,688b0fab0110d1205b4919e2,umap_1_hdbscan_3
sentinel vulnerability patch,31,688b0fab0110d1205b4919e3,umap_1_hdbscan_3
phishe attack response,25,688b0fab0110d1205b4919e5,umap_1_hdbscan_3
phishe attack response,25,688b0fab0110d1205b4919e7,umap_1_hdbscan_3
fraud detection update,7,688b10310110d1205b4919ea,umap_1_hdbscan_3
fraud detection upgrade,30,688b10310110d1205b4919eb,umap_1_hdbscan_3
fraud detection update,7,688b0e9d0110d1205b4919ca,umap_1_hdbscan_3
phishe attack response,25,688b0e9d0110d1205b4919cd,umap_1_hdbscan_3
branch audit preparation,1,688b0fab0110d1205b4919de,umap_1_hdbscan_3
fraudulent wire transfer,8,688b0fab0110d1205b4919df,umap_1_hdbscan_3
fraudulent wire transfer,8,688b0fab0110d1205b4919e0,umap_1_hdbscan_3
core banking upgrade,23,688b0fab0110d1205b4919e1,umap_1_hdbscan_3
branch audit notification,13,688b0fab0110d1205b4919e4,umap_1_hdbscan_3
core banking upgrade,23,688b10310110d1205b4919e8,umap_1_hdbscan_3
phishe attack response,25,688b10310110d1205b4919ec,umap_1_hdbscan_3
branch audit preparation,1,688b0e9d0110d1205b4919cb,umap_1_hdbscan_3
branch audit preparation,1,688b0e9d0110d1205b4919cc,umap_1_hdbscan_3
fraudulent ach transfer,27,688b0e9d0110d1205b4919ce,umap_1_hdbscan_3
revise aml rule,40,688b0e9d0110d1205b4919cf,umap_1_hdbscan_3
core banking upgrade,23,688b0e9d0110d1205b4919d0,umap_1_hdbscan_3
fraud system update,0,688b0e9d0110d1205b4919d2,umap_1_hdbscan_3
branch audit preparation,1,688b0f250110d1205b4919d5,umap_1_hdbscan_3
fraud system update,0,688b0f250110d1205b4919d7,umap_1_hdbscan_3
fraud detection update,7,688b0f250110d1205b4919d8,umap_1_hdbscan_3
fraudulent wire transfer,8,688b0f250110d1205b4919d9,umap_1_hdbscan_3
branch audit preparation,1,688b0fab0110d1205b4919e6,umap_1_hdbscan_3
fraudulent wire transfer,8,688b10310110d1205b4919e9,umap_1_hdbscan_3
fraud verification protocol,33,688b10310110d1205b4919ee,umap_1_hdbscan_3
fraud detection update,7,688b0e9d0110d1205b4919d1,umap_1_hdbscan_3
fraudulent wire transfer,8,688b0f250110d1205b4919da,umap_1_hdbscan_3
branch audit notification,13,688b0f250110d1205b4919dc,umap_1_hdbscan_3
advanced fraud detection,7,688b10310110d1205b4919ed,umap_1_hdbscan_3
phishe attack response,25,688b10310110d1205b4919ef,umap_1_hdbscan_3
fraud detection update,7,688b10310110d1205b4919f0,umap_1_hdbscan_3
sentinel system update,29,688b10310110d1205b4919f1,umap_1_hdbscan_3
branch audit preparation,1,688b10b80110d1205b4919f3,umap_1_hdbscan_3
fraudulent wire transfer,8,688b10b80110d1205b4919f9,umap_1_hdbscan_3
fraudulent wire transfer,8,688b10b80110d1205b4919fa,umap_1_hdbscan_3
fraud detection update,7,688b10b80110d1205b4919fb,umap_1_hdbscan_3
branch audit preparation,1,688b113e0110d1205b491a04,umap_1_hdbscan_3
fraud system update,0,688b11c20110d1205b491a07,umap_1_hdbscan_3
fraud detection update,7,688b12480110d1205b491a13,umap_1_hdbscan_3
fraud detection upgrade,30,688b10b80110d1205b4919f2,umap_1_hdbscan_3
fraud detection update,7,688b10b80110d1205b4919f5,umap_1_hdbscan_3
fraud system update,0,688b10b80110d1205b4919f6,umap_1_hdbscan_3
fraudulent wire transfer,8,688b10b80110d1205b4919f7,umap_1_hdbscan_3
fraudulent wire transfer,8,688b10b80110d1205b4919f8,umap_1_hdbscan_3
fraud system update,0,688b113e0110d1205b4919fc,umap_1_hdbscan_3
fraud detection update,7,688b113e0110d1205b4919fd,umap_1_hdbscan_3
fraudulent wire transfer,8,688b113e0110d1205b4919fe,umap_1_hdbscan_3
branch audit notification,13,688b113e0110d1205b491a02,umap_1_hdbscan_3
finacle system upgrade,35,688b113e0110d1205b491a03,umap_1_hdbscan_3
phishe attack response,25,688b11c20110d1205b491a06,umap_1_hdbscan_3
fraudulent transaction pattern,22,688b11c20110d1205b491a08,umap_1_hdbscan_3
fraudulent wire transfer,8,688b11c20110d1205b491a0a,umap_1_hdbscan_3
fraud detection update,7,688b12480110d1205b491a12,umap_1_hdbscan_3
phishe attack patch,24,688b113e0110d1205b4919ff,umap_1_hdbscan_3
branch audit preparation,1,688b11c20110d1205b491a09,umap_1_hdbscan_3
fraud detection update,7,688b11c20110d1205b491a0c,umap_1_hdbscan_3
branch audit preparation,1,688b11c20110d1205b491a0d,umap_1_hdbscan_3
sentinel update implementation,31,688b11c20110d1205b491a0f,umap_1_hdbscan_3
phishe attack detection,24,688b12480110d1205b491a10,umap_1_hdbscan_3
finacle system maintenance,35,688b10b80110d1205b4919f4,umap_1_hdbscan_3
branch audit preparation,1,688b113e0110d1205b491a00,umap_1_hdbscan_3
branch audit preparation,1,688b113e0110d1205b491a01,umap_1_hdbscan_3
fraud detection update,7,688b113e0110d1205b491a05,umap_1_hdbscan_3
fraud detection update,7,688b11c20110d1205b491a0b,umap_1_hdbscan_3
branch audit preparation,1,688b11c20110d1205b491a0e,umap_1_hdbscan_3
malware signature update,30,688b12480110d1205b491a11,umap_1_hdbscan_3
fraud system update,0,688b12cf0110d1205b491a1f,umap_1_hdbscan_3
vigilance system upgrade,26,688b12cf0110d1205b491a20,umap_1_hdbscan_3
fraud system update,0,688b12cf0110d1205b491a21,umap_1_hdbscan_3
fraud system update,0,688b13570110d1205b491a27,umap_1_hdbscan_3
phishe attack response,25,688b13db0110d1205b491a30,umap_1_hdbscan_3
fraud detection upgrade,30,688b13db0110d1205b491a35,umap_1_hdbscan_3
branch transaction audit,14,688b13db0110d1205b491a37,umap_1_hdbscan_3
loan documentation request,12,688b145c0110d1205b491a38,umap_1_hdbscan_3
branch audit preparation,1,688b12cf0110d1205b491a1b,umap_1_hdbscan_3
finacle system upgrade,35,688b12cf0110d1205b491a1c,umap_1_hdbscan_3
ach fraud update,7,688b12cf0110d1205b491a23,umap_1_hdbscan_3
fraudulent wire transfer,8,688b13570110d1205b491a24,umap_1_hdbscan_3
fraud system update,0,688b13570110d1205b491a2c,umap_1_hdbscan_3
fraud system update,0,688b13db0110d1205b491a2e,umap_1_hdbscan_3
branch transaction audit,14,688b13db0110d1205b491a31,umap_1_hdbscan_3
phishe attack response,25,688b13db0110d1205b491a32,umap_1_hdbscan_3
sentinel system upgrade,29,688b145c0110d1205b491a39,umap_1_hdbscan_3
branch audit preparation,1,688b12480110d1205b491a14,umap_1_hdbscan_3
sentinel system upgrade,29,688b12cf0110d1205b491a1a,umap_1_hdbscan_3
fraud detection update,7,688b12cf0110d1205b491a1e,umap_1_hdbscan_3
fiserv horizon maintenance,35,688b12cf0110d1205b491a22,umap_1_hdbscan_3
branch audit preparation,1,688b13570110d1205b491a25,umap_1_hdbscan_3
fraudulent wire transfer,8,688b13db0110d1205b491a2f,umap_1_hdbscan_3
fraud system update,0,688b13db0110d1205b491a33,umap_1_hdbscan_3
branch audit compliance,1,688b13db0110d1205b491a36,umap_1_hdbscan_3
branch transaction audit,14,688b12480110d1205b491a15,umap_1_hdbscan_3
fraud detection update,7,688b12480110d1205b491a16,umap_1_hdbscan_3
branch audit notification,13,688b12480110d1205b491a17,umap_1_hdbscan_3
phishe attack detection,24,688b12480110d1205b491a18,umap_1_hdbscan_3
fraud detection update,7,688b12480110d1205b491a19,umap_1_hdbscan_3
fraud detection update,7,688b12cf0110d1205b491a1d,umap_1_hdbscan_3
branch audit preparation,1,688b13570110d1205b491a26,umap_1_hdbscan_3
phishe attack response,25,688b13570110d1205b491a28,umap_1_hdbscan_3
phishe attack response,25,688b13570110d1205b491a29,umap_1_hdbscan_3
branch audit preparation,1,688b13570110d1205b491a2a,umap_1_hdbscan_3
fraud system update,0,688b13570110d1205b491a2b,umap_1_hdbscan_3
branch audit preparation,1,688b13570110d1205b491a2d,umap_1_hdbscan_3
branch transaction audit,14,688b13db0110d1205b491a34,umap_1_hdbscan_3
branch audit preparation,1,688b145c0110d1205b491a3a,umap_1_hdbscan_3
fraud system update,0,688b14e40110d1205b491a45,umap_1_hdbscan_3
vigilance system update,26,688b14e40110d1205b491a46,umap_1_hdbscan_3
fraudulent wire transfer,8,688b14e40110d1205b491a47,umap_1_hdbscan_3
branch audit compliance,1,688b14e40110d1205b491a4a,umap_1_hdbscan_3
branch audit preparation,1,688b14e40110d1205b491a4b,umap_1_hdbscan_3
loan application clarification,11,688b156c0110d1205b491a4e,umap_1_hdbscan_3
fraudulent debit card,21,688b156c0110d1205b491a54,umap_1_hdbscan_3
branch transaction audit,14,688b15ec0110d1205b491a56,umap_1_hdbscan_3
branch audit preparation,1,688b15ec0110d1205b491a5f,umap_1_hdbscan_3
fraud detection update,7,688b145c0110d1205b491a3d,umap_1_hdbscan_3
fraud detection update,7,688b145c0110d1205b491a3e,umap_1_hdbscan_3
fraudulent wire transfer,8,688b145c0110d1205b491a3f,umap_1_hdbscan_3
fraud system upgrade,15,688b14e40110d1205b491a43,umap_1_hdbscan_3
branch audit notification,13,688b156c0110d1205b491a4c,umap_1_hdbscan_3
fraudulent transaction review,22,688b156c0110d1205b491a4f,umap_1_hdbscan_3
aml rule revision,4,688b156c0110d1205b491a50,umap_1_hdbscan_3
fraud detection upgrade,30,688b156c0110d1205b491a55,umap_1_hdbscan_3
branch transaction audit,14,688b15ec0110d1205b491a59,umap_1_hdbscan_3
fraud detection update,7,688b145c0110d1205b491a3b,umap_1_hdbscan_3
fraudulent wire transfer,8,688b145c0110d1205b491a40,umap_1_hdbscan_3
fraudulent wire transfer,8,688b14e40110d1205b491a49,umap_1_hdbscan_3
fraud detection upgrade,30,688b156c0110d1205b491a4d,umap_1_hdbscan_3
phishe attack response,25,688b156c0110d1205b491a53,umap_1_hdbscan_3
branch audit preparation,1,688b15ec0110d1205b491a58,umap_1_hdbscan_3
branch transaction audit,14,688b15ec0110d1205b491a5a,umap_1_hdbscan_3
phishe attack response,25,688b15ec0110d1205b491a5c,umap_1_hdbscan_3
fraud system update,0,688b15ec0110d1205b491a5d,umap_1_hdbscan_3
fraud detection upgrade,30,688b15ec0110d1205b491a5e,umap_1_hdbscan_3
fraudulent wire transfer,8,688b145c0110d1205b491a3c,umap_1_hdbscan_3
sentinel update deployment,31,688b145c0110d1205b491a41,umap_1_hdbscan_3
fraud detection update,7,688b14e40110d1205b491a42,umap_1_hdbscan_3
branch audit preparation,1,688b14e40110d1205b491a44,umap_1_hdbscan_3
fraud detection update,7,688b14e40110d1205b491a48,umap_1_hdbscan_3
sentinel system update,29,688b156c0110d1205b491a51,umap_1_hdbscan_3
fraud system update,0,688b156c0110d1205b491a52,umap_1_hdbscan_3
branch audit preparation,1,688b15ec0110d1205b491a57,umap_1_hdbscan_3
fraud detection update,7,688b15ec0110d1205b491a5b,umap_1_hdbscan_3
fraud detection update,7,688b16730110d1205b491a60,umap_1_hdbscan_3
fraud system upgrade,15,688b16730110d1205b491a61,umap_1_hdbscan_3
fraud detection update,7,688b16730110d1205b491a66,umap_1_hdbscan_3
phishe attack response,25,688b16f50110d1205b491a6a,umap_1_hdbscan_3
fraud system update,0,688b177e0110d1205b491a79,umap_1_hdbscan_3
phishe attack mitigation,24,688b177e0110d1205b491a7a,umap_1_hdbscan_3
fraud system upgrade,15,688b177e0110d1205b491a7d,umap_1_hdbscan_3
branch transaction audit,14,688b1766aa83e8e75ab7642d,umap_1_hdbscan_3
branch transaction audit,14,688b1766aa83e8e75ab7642f,umap_1_hdbscan_3
branch transaction audit,14,688b16730110d1205b491a64,umap_1_hdbscan_3
phishe wire transfer,24,688b16730110d1205b491a68,umap_1_hdbscan_3
