x,y,cluster,keyphrase,document_id
13.929509,-7.553894,15,fraudulent wire transfer,688b0e9d0110d1205b4919d3
34.064117,-10.388221,19,fraud system update,688b0f250110d1205b4919d4
34.139446,-10.781336,19,fraud system upgrade,688b0f250110d1205b4919d6
-0.2730753,12.742678,25,core banking upgrade,688b0f250110d1205b4919db
-8.636787,-53.988316,7,fraud detection update,688b0f250110d1205b4919dd
-19.479528,46.7596,21,phishe attack mitigation,688b0fab0110d1205b4919e2
-6.998262,25.392351,22,sentinel vulnerability patch,688b0fab0110d1205b4919e3
-20.792557,49.779434,2,phishe attack response,688b0fab0110d1205b4919e5
-20.756065,49.85047,2,phishe attack response,688b0fab0110d1205b4919e7
-8.167109,-53.961864,7,fraud detection update,688b10310110d1205b4919ea
-8.530609,-54.546165,7,fraud detection upgrade,688b10310110d1205b4919eb
-8.5337105,-54.008614,7,fraud detection update,688b0e9d0110d1205b4919ca
-20.69757,49.751087,2,phishe attack response,688b0e9d0110d1205b4919cd
26.967373,-25.451817,14,branch audit preparation,688b0fab0110d1205b4919de
13.795192,-7.554189,15,fraudulent wire transfer,688b0fab0110d1205b4919df
13.899175,-7.5357275,15,fraudulent wire transfer,688b0fab0110d1205b4919e0
-0.24571449,12.770012,25,core banking upgrade,688b0fab0110d1205b4919e1
-22.129322,-17.748419,17,branch audit notification,688b0fab0110d1205b4919e4
-0.22048202,12.795335,25,core banking upgrade,688b10310110d1205b4919e8
-20.608707,49.559376,2,phishe attack response,688b10310110d1205b4919ec
27.30685,-25.297394,14,branch audit preparation,688b0e9d0110d1205b4919cb
27.026049,-25.346687,14,branch audit preparation,688b0e9d0110d1205b4919cc
8.025907,4.699441,30,fraudulent ach transfer,688b0e9d0110d1205b4919ce
18.560303,15.216352,37,revise aml rule,688b0e9d0110d1205b4919cf
-0.2003426,12.815576,25,core banking upgrade,688b0e9d0110d1205b4919d0
33.89321,-10.533402,19,fraud system update,688b0e9d0110d1205b4919d2
26.999643,-25.35437,14,branch audit preparation,688b0f250110d1205b4919d5
34.150127,-10.309814,19,fraud system update,688b0f250110d1205b4919d7
-8.354512,-53.978775,7,fraud detection update,688b0f250110d1205b4919d8
13.978715,-7.705172,15,fraudulent wire transfer,688b0f250110d1205b4919d9
26.90493,-25.333397,14,branch audit preparation,688b0fab0110d1205b4919e6
14.018679,-7.7137947,15,fraudulent wire transfer,688b10310110d1205b4919e9
-11.068144,-54.53985,7,fraud verification protocol,688b10310110d1205b4919ee
-8.229886,-54.010784,7,fraud detection update,688b0e9d0110d1205b4919d1
13.819289,-7.7373257,15,fraudulent wire transfer,688b0f250110d1205b4919da
-21.99124,-17.754435,17,branch audit notification,688b0f250110d1205b4919dc
-8.624757,-54.555805,7,advanced fraud detection,688b10310110d1205b4919ed
-20.868044,49.867447,2,phishe attack response,688b10310110d1205b4919ef
-8.438725,-53.796288,7,fraud detection update,688b10310110d1205b4919f0
-7.787387,26.587448,23,sentinel system update,688b10310110d1205b4919f1
27.108364,-25.114567,14,branch audit preparation,688b10b80110d1205b4919f3
13.813466,-7.7675977,15,fraudulent wire transfer,688b10b80110d1205b4919f9
13.887205,-7.86845,15,fraudulent wire transfer,688b10b80110d1205b4919fa
-8.69095,-53.740147,7,fraud detection update,688b10b80110d1205b4919fb
27.402554,-25.015371,14,branch audit preparation,688b113e0110d1205b491a04
34.14419,-10.383644,19,fraud system update,688b11c20110d1205b491a07
-8.593084,-53.59482,7,fraud detection update,688b12480110d1205b491a13
-8.465864,-54.56566,7,fraud detection upgrade,688b10b80110d1205b4919f2
-8.586299,-53.882736,7,fraud detection update,688b10b80110d1205b4919f5
34.250313,-10.438877,19,fraud system update,688b10b80110d1205b4919f6
13.757634,-7.5140295,15,fraudulent wire transfer,688b10b80110d1205b4919f7
13.814063,-7.961765,15,fraudulent wire transfer,688b10b80110d1205b4919f8
34.175453,-10.449085,19,fraud system update,688b113e0110d1205b4919fc
-8.523277,-53.932446,7,fraud detection update,688b113e0110d1205b4919fd
13.820674,-7.6682925,15,fraudulent wire transfer,688b113e0110d1205b4919fe
-21.949791,-17.620872,17,branch audit notification,688b113e0110d1205b491a02
-3.609043,8.834583,11,finacle system upgrade,688b113e0110d1205b491a03
-20.823448,49.75529,2,phishe attack response,688b11c20110d1205b491a06
8.682239,6.5630264,27,fraudulent transaction pattern,688b11c20110d1205b491a08
13.587711,-7.8322988,15,fraudulent wire transfer,688b11c20110d1205b491a0a
-8.148368,-53.64147,7,fraud detection update,688b12480110d1205b491a12
-19.721441,47.006145,-1,phishe attack patch,688b113e0110d1205b4919ff
27.096682,-25.243793,14,branch audit preparation,688b11c20110d1205b491a09
-8.478899,-53.63926,7,fraud detection update,688b11c20110d1205b491a0c
27.066635,-25.005571,14,branch audit preparation,688b11c20110d1205b491a0d
-7.107261,25.540735,22,sentinel update implementation,688b11c20110d1205b491a0f
-19.44463,46.737076,21,phishe attack detection,688b12480110d1205b491a10
-3.6955411,9.236007,11,finacle system maintenance,688b10b80110d1205b4919f4
27.346266,-25.02388,14,branch audit preparation,688b113e0110d1205b491a00
27.36566,-25.212597,14,branch audit preparation,688b113e0110d1205b491a01
-8.554038,-53.884926,7,fraud detection update,688b113e0110d1205b491a05
-8.108679,-53.77792,7,fraud detection update,688b11c20110d1205b491a0b
27.137629,-25.311117,14,branch audit preparation,688b11c20110d1205b491a0e
33.861416,-10.621552,19,malware signature update,688b12480110d1205b491a11
34.065834,-10.478014,19,fraud system update,688b12cf0110d1205b491a1f
20.26776,-1.8798417,24,vigilance system upgrade,688b12cf0110d1205b491a20
34.245323,-10.539764,19,fraud system update,688b12cf0110d1205b491a21
33.92647,-10.553146,19,fraud system update,688b13570110d1205b491a27
-20.849852,49.7991,2,phishe attack response,688b13db0110d1205b491a30
