document_id,original_topic,processed_topic
688b10b80110d1205b4919f8,ACH Processing Error,ach processing error
688b113e0110d1205b491a05,ACH Processing Error,ach processing error
688b3afdf493d75d15e4d06e,ACH Processing Error,ach processing error
688b3d1bf493d75d15e4d095,ACH Processing Error,ach processing error
688b3eb3f493d75d15e4d0b3,ACH Processing Error,ach processing error
688b4d96639b066fbfc64068,ACH Processing Error,ach processing error
688b52de639b066fbfc640d6,ACH Processing Error,ach processing error
688b535b639b066fbfc640e4,ACH Processing Error,ach processing error
688b54d1649d37998a47d207,ACH Processing Error,ach processing error
688b55e4649d37998a47d219,ACH Processing Error,ach processing error
688b5919639b066fbfc6415d,ACH Processing Error,ach processing error
688b60c5639b066fbfc641fe,ACH Processing Error,ach processing error
688b68dc639b066fbfc642aa,ACH Processing Error,ach processing error
688b0fab0110d1205b4919e0,AML Documentation Request,aml documentation request
688b1a9e0110d1205b491ab4,AML Documentation Request,aml documentation request
688b2662c831f0f99f2b76b5,AML Documentation Request,aml documentation request
688b25ebc831f0f99f2b76a6,AML Documentation Request,aml documentation request
688b3c91f493d75d15e4d086,AML Documentation Request,aml documentation request
688b50f6639b066fbfc640b1,AML Documentation Request,aml documentation request
688b544b649d37998a47d1f7,AML Documentation Request,aml documentation request
688b5ce8639b066fbfc641a8,AML Documentation Request,aml documentation request
688b6323639b066fbfc6422b,AML Documentation Request,aml documentation request
688b648f639b066fbfc64250,AML Documentation Request,aml documentation request
688b65fc639b066fbfc6426a,AML Documentation Request,aml documentation request
688b676d639b066fbfc6428d,AML Documentation Request,aml documentation request
688b6953639b066fbfc642ae,AML Documentation Request,aml documentation request
688b10b80110d1205b4919f3,API Connectivity Issue,api connectivity issue
688b15ec0110d1205b491a5a,API Connectivity Issue,api connectivity issue
688b177e0110d1205b491a75,API Connectivity Issue,api connectivity issue
688b1d420110d1205b491ae3,API Connectivity Issue,api connectivity issue
688b23030110d1205b491b55,API Connectivity Issue,api connectivity issue
688b2b0cae6ebfc0404514db,API Connectivity Issue,api connectivity issue
688b3079f493d75d15e4cfa5,API Connectivity Issue,api connectivity issue
688b3c0af493d75d15e4d07f,API Connectivity Issue,api connectivity issue
688b3c0af493d75d15e4d07c,API Connectivity Issue,api connectivity issue
688b4049f493d75d15e4d0d1,API Connectivity Issue,api connectivity issue
688b40cef493d75d15e4d0da,API Connectivity Issue,api connectivity issue
688b49c3f493d75d15e4d187,API Connectivity Issue,api connectivity issue
688b4d96639b066fbfc6406b,API Connectivity Issue,api connectivity issue
688b535b639b066fbfc640e6,API Connectivity Issue,api connectivity issue
688b54d1649d37998a47d201,API Connectivity Issue,api connectivity issue
688b56ba639b066fbfc6412e,API Connectivity Issue,api connectivity issue
688b5c6f639b066fbfc641a2,API Connectivity Issue,api connectivity issue
688b16730110d1205b491a67,ATM Network Problem,atm network problem
688b18000110d1205b491a85,ATM Network Problem,atm network problem
688b1a170110d1205b491aa6,ATM Network Problem,atm network problem
688b23030110d1205b491b54,ATM Network Problem,atm network problem
688b2f64f493d75d15e4cf96,ATM Network Problem,atm network problem
688b40cef493d75d15e4d0d6,ATM Network Problem,atm network problem
688b43faf493d75d15e4d113,ATM Network Problem,atm network problem
688b61b3639b066fbfc6420f,ATM Network Problem,atm network problem
688b67e5639b066fbfc64294,ATM Network Problem,atm network problem
688b16f50110d1205b491a6c,Account Access Error,account access error
688b1a170110d1205b491aac,Account Access Error,account access error
688b1bad0110d1205b491acc,Account Access Error,account access error
688b23f5c831f0f99f2b767f,Account Access Error,account access error
688b25160110d1205b491b79,Account Access Error,account access error
688b24940110d1205b491b77,Account Access Error,account access error
688b25160110d1205b491b78,Account Access Error,account access error
688b272d0110d1205b491ba1,Account Access Error,account access error
688b28ee534cd77faa4e6152,Account Access Error,account access error
688b2c3ef493d75d15e4cf54,Account Access Error,account access error
688b34aef493d75d15e4cff3,Account Access Error,account access error
688b3536f493d75d15e4d003,Account Access Error,account access error
688b3afdf493d75d15e4d071,Account Access Error,account access error
688b396ef493d75d15e4d04a,Account Access Error,account access error
688b41e2f493d75d15e4d0ed,Account Access Error,account access error
688b43faf493d75d15e4d119,Account Access Error,account access error
688b47aee77268b120601165,Account Access Error,account access error
688b55c9639b066fbfc64118,Account Access Error,account access error
688b5733639b066fbfc64136,Account Access Error,account access error
688b0f250110d1205b4919db,Account Opening Issue,account opening issue
688b10310110d1205b4919ef,Account Opening Issue,account opening issue
688b1b260110d1205b491abe,Account Opening Issue,account opening issue
688b20f00110d1205b491b2d,Account Opening Issue,account opening issue
688b2702c831f0f99f2b76c1,Account Opening Issue,account opening issue
688b3079f493d75d15e4cfa7,Account Opening Issue,account opening issue
688b3427f493d75d15e4cff0,Account Opening Issue,account opening issue
