x,y,cluster,keyphrase,document_id
-12.693961,1.9102613,48,authsvc login failure,6889ba7ca4f4718f70978ff5
37.550365,12.379208,6,atm card reader failure,6889ba7ea4f4718f70978ff6
17.729494,3.0364456,39,ach payroll failure,6889ba7ea4f4718f70978ff7
-2.1601985,20.910545,20,fraudulent login attempt,6889ba7ea4f4718f70978ff8
-21.753443,9.963098,3,branch network outage,6889ba7ea4f4718f70978ff9
26.6392,-18.023996,1,android app crash,6889ba7ea4f4718f70978ffa
3.4296753,8.239862,72,loan report generation,6889ba7ea4f4718f70978ffb
6.438729,24.12004,11,exchange online outage,6889ba7ea4f4718f70978ffc
8.532547,1.567869,73,css styling error,6889ba7fa4f4718f70978ffd
7.375587,4.5797143,49,firewall log volume,6889ba7fa4f4718f70978ffe
18.18892,-1.0461417,42,ldap query latency,6889bab4a4f4718f70978fff
30.159239,22.641697,4,atm card retention,6889bab4a4f4718f70979000
17.72522,3.0406826,39,ach payroll failure,6889bab4a4f4718f70979001
10.944088,8.47432,51,core banking slowdown,6889bab4a4f4718f70979002
-7.242442,21.041264,9,suspicious login activity,6889bab4a4f4718f70979003
-21.543203,10.05343,3,branch network outage,6889bab4a4f4718f70979004
8.654411,12.697265,67,salesforce api timeout,6889bab4a4f4718f70979005
-7.2043037,0.20737307,33,report generation delay,6889bab4a4f4718f70979006
26.416769,-8.912703,26,mobile app alignment,6889bab4a4f4718f70979007
7.4612794,4.6125183,49,audit log capacity,6889bab4a4f4718f70979008
2.0430822,3.8747258,66,web login failure,6889bae7a4f4718f70979009
37.402008,12.182814,6,atm card reader failure,6889bae7a4f4718f7097900a
17.710499,3.048979,39,fail ach payroll,6889bae7a4f4718f7097900b
-2.323091,21.028927,-1,suspicious login attempt,6889bae7a4f4718f7097900c
-21.712248,9.939781,3,branch network outage,6889bae7a4f4718f7097900d
3.4411657,8.227948,72,loan report performance,6889bae7a4f4718f7097900e
26.631237,-18.023438,1,android app crash,6889bae8a4f4718f7097900f
8.635321,-3.0903645,67,swift message validation,6889bae8a4f4718f70979010
11.456772,10.951147,67,system performance degradation,6889bae8a4f4718f70979011
7.6880407,2.7209294,80,pdf nickname display,6889bae8a4f4718f70979012
19.57652,10.182567,50,okta connection failure,6889bb16a4f4718f70979013
37.419582,12.450247,6,atm card reader failure,6889bb16a4f4718f70979014
9.140857,-22.873476,37,ach payment failure,6889bb16a4f4718f70979015
-2.3562903,21.060211,21,suspicious login attempt,6889bb16a4f4718f70979016
5.2871914,-3.6266763,40,database performance degradation,6889bb16a4f4718f70979017
8.476994,19.891119,24,mpls circuit latency,6889bb16a4f4718f70979018
25.884985,-8.278146,25,mobile balance discrepancy,6889bb16a4f4718f70979019
31.662926,-0.34980017,14,report generation failure,6889bb16a4f4718f7097901a
11.453943,10.922193,67,api rate limiting,6889bb16a4f4718f7097901b
8.56104,1.7696342,-1,firefox font rendering,6889bb16a4f4718f7097901c
3.2808506,3.6806335,-1,duo authentication failure,6889bb5ba4f4718f7097901d
37.576527,12.245595,6,atm card reader failure,6889bb5ba4f4718f7097901e
8.570817,12.79297,67,pvsm payment delay,6889bb5ba4f4718f7097901f
3.2284226,29.559174,17,brute force attack,6889bb5ba4f4718f70979020
13.187116,-14.670106,23,branch network latency,6889bb5ba4f4718f70979021
-7.217541,0.2213006,33,report generation delay,6889bb5ba4f4718f70979022
26.632784,-18.023775,1,android app crash,6889bb5ca4f4718f70979023
13.6273985,7.5959015,61,cpu utilization spike,6889bb5ca4f4718f70979024
12.75312,-0.7611804,53,statement datum discrepancy,6889bb5ca4f4718f70979025
8.054189,1.8466642,70,font rendering error,6889bb5ca4f4718f70979026
2.9051976,3.7901561,62,online login failure,6889bb9ba4f4718f70979027
37.59578,12.5570755,6,ncr card reader failure,6889bb9ba4f4718f70979028
7.241763,8.665156,44,ach batch failure,6889bb9ba4f4718f70979029
11.205137,9.952148,69,cbs performance degradation,6889bb9ba4f4718f7097902a
3.2245693,29.563063,17,brute force attack,6889bb9ca4f4718f7097902b
-21.573019,9.948656,3,branch network outage,6889bb9ca4f4718f7097902c
8.637844,-3.1237445,67,push notification failure,6889bb9ca4f4718f7097902d
7.4548483,3.3601391,55,replication lag,6889bb9ca4f4718f7097902e
8.325222,3.5698495,77,incorrect account statement,6889bb9ca4f4718f7097902f
8.67055,1.728346,74,firefox ui misalignment,6889bb9ca4f4718f70979030
2.9916573,3.7561643,62,horizon login failure,6889bbdea4f4718f70979031
37.028133,12.472919,6,atm card reader,6889bbdea4f4718f70979032
9.132178,-22.860727,37,ach transfer failure,6889bbdfa4f4718f70979033
3.2393217,29.54832,17,brute force attack,6889bbdfa4f4718f70979034
9.613135,5.1583724,71,account summary api,6889bbdfa4f4718f70979035
-21.593395,10.138699,3,branch network outage,6889bbdfa4f4718f70979036
21.384274,7.6676264,10,billpay module crash,6889bbdfa4f4718f70979037
10.494842,10.022104,-1,dwh connection failure,6889bbdfa4f4718f70979038
11.892092,8.435951,58,voip quality,6889bbdfa4f4718f70979039
12.155028,-10.230936,18,account nickname truncation,6889bbdfa4f4718f7097903a
2.4973528,3.8442848,65,webdirect login failure,6889bc1ea4f4718f7097903b
28.81255,21.11427,7,atm cash dispenser,6889bc1ea4f4718f7097903c
6.185836,8.393739,43,ach routing number,6889bc1ea4f4718f7097903d
5.2932796,-3.6299913,40,database performance degradation,6889bc1ea4f4718f7097903e
-2.2039385,20.930006,21,suspicious login attempt,6889bc1ea4f4718f7097903f
-21.553513,10.141818,3,branch network outage,6889bc1ea4f4718f70979040
25.887522,-8.280218,25,mobile balance discrepancy,6889bc1ea4f4718f70979041
10.990404,9.952931,69,dtr generation failure,6889bc1ea4f4718f70979042
6.439481,24.124695,11,exchange online delay,6889bc1fa4f4718f70979043
1.9123226,3.8979797,66,chrome head distortion,6889bc1fa4f4718f70979044
2.8836796,3.8075948,62,online login failure,6889bc63a4f4718f70979045
28.86206,21.171127,-1,atm deposit failure,6889bc63a4f4718f70979046
17.734911,3.030949,39,ach payroll failure,6889bc64a4f4718f70979047
11.4855,10.916701,67,api performance degradation,6889bc64a4f4718f70979048
3.226252,29.561783,17,brute force attack,6889bc64a4f4718f70979049
-21.577808,9.90586,3,branch network outage,6889bc64a4f4718f7097904a
26.408373,-8.917149,26,mobile app crash,6889bc64a4f4718f7097904b
10.22885,10.291296,67,salesforce datum sync,6889bc64a4f4718f7097904c
8.583492,12.7816925,48,transaction datum lock,6889bc64a4f4718f7097904d
7.7849264,3.1961126,79,date format bug,6889bc64a4f4718f7097904e
-12.696134,1.9077977,48,authsvc login failure,6889bca2a4f4718f7097904f
28.79548,21.092117,7,atm cash jam,6889bca2a4f4718f70979050
-5.300455,-10.449026,16,ach payment delay,6889bca3a4f4718f70979051
3.2706482,14.392087,29,credential stuffing attack,6889bca3a4f4718f70979052
5.267751,-3.6080353,40,database performance degradation,6889bca3a4f4718f70979053
13.172794,-14.6490755,23,branch network latency,6889bca3a4f4718f70979054
26.626236,-18.031876,1,android app crash,6889bca3a4f4718f70979055
31.648878,-0.44814378,14,report server failure,6889bca3a4f4718f70979056
8.63695,-3.089341,67,swift message validation,6889bca3a4f4718f70979057
3.4445977,8.225453,72,loan form display,6889bca3a4f4718f70979058
-12.680777,1.9233983,48,authserv login failure,6889bcc8a4f4718f70979059
37.549824,12.198393,6,atm card reader failure,6889bcc9a4f4718f7097905a
8.193743,-21.815065,38,duplicate ach payment,6889bcc9a4f4718f7097905b
3.2482796,29.546917,17,brute force attack,6889bcc9a4f4718f7097905c
13.165628,-14.754234,23,branch network latency,6889bcc9a4f4718f7097905d
10.086857,10.306787,76,crm datum sync,6889bcc9a4f4718f7097905e
26.431349,-8.929495,26,mobile app crash,6889bcc9a4f4718f7097905f
6.5466514,3.6758487,28,slow report generation,6889bcc9a4f4718f70979060
18.856163,9.428039,57,ssl certificate renewal,6889bcc9a4f4718f70979061
7.6306157,2.7671065,80,pdf statement alignment,6889bcc9a4f4718f70979062
18.199347,-1.0406914,42,ldap authentication failure,6889bd02a4f4718f70979063
37.38171,12.0247135,6,atm card reader failure,6889bd02a4f4718f70979064
8.194032,-21.815348,38,duplicate ach payment,6889bd02a4f4718f70979065
-2.3712344,21.076479,21,suspicious login attempt,6889bd02a4f4718f70979066
13.217701,-14.702874,23,branch network latency,6889bd02a4f4718f70979067
4.0817895,2.5442019,46,los database performance,6889bd02a4f4718f70979068
26.45164,-8.948605,26,mobile app crash,6889bd02a4f4718f70979069
8.214886,7.4491277,60,file server cpu,6889bd03a4f4718f7097906a
7.8659453,3.429237,79,report date format,6889bd03a4f4718f7097906b
-7.375218,0.4078272,15,verbose logging issue,6889bd03a4f4718f7097906c
-2.7109036,1.8506627,62,login failure error,6889bd25a4f4718f7097906d
30.173933,22.639088,4,atm card retention,6889bd26a4f4718f7097906e
17.712746,3.0531898,39,ach payroll failure,6889bd26a4f4718f7097906f
-7.370723,20.917587,9,suspicious login activity,6889bd26a4f4718f70979070
-21.478003,10.01648,3,branch network outage,6889bd26a4f4718f70979071
12.97294,-0.96561843,53,statement generation delay,6889bd26a4f4718f70979072
25.892141,-8.285749,25,mobile balance discrepancy,6889bd26a4f4718f70979073
13.624075,7.5984015,61,server cpu spike,6889bd26a4f4718f70979074
4.8434615,6.1071396,54,payee alignment,6889bd27a4f4718f70979075
7.344461,4.529469,49,firewall log overflow,6889bd27a4f4718f70979076
-2.691179,1.8697993,62,fail login attempt,6889bd4ca4f4718f70979077
