keyphrase,cluster_id,document_id,experiment_id
authsvc login failure,44,6889ba7ca4f4718f70978ff5,umap_3_hdbscan_3
atm card reader failure,15,6889ba7ea4f4718f70978ff6,umap_3_hdbscan_3
ach payroll failure,20,6889ba7ea4f4718f70978ff7,umap_3_hdbscan_3
fraudulent login attempt,1,6889ba7ea4f4718f70978ff8,umap_3_hdbscan_3
branch network outage,10,6889ba7ea4f4718f70978ff9,umap_3_hdbscan_3
android app crash,9,6889ba7ea4f4718f70978ffa,umap_3_hdbscan_3
loan report generation,45,6889ba7ea4f4718f70978ffb,umap_3_hdbscan_3
exchange online outage,29,6889ba7ea4f4718f70978ffc,umap_3_hdbscan_3
css styling error,31,6889ba7fa4f4718f70978ffd,umap_3_hdbscan_3
firewall log volume,59,6889ba7fa4f4718f70978ffe,umap_3_hdbscan_3
ldap query latency,56,6889bab4a4f4718f70978fff,umap_3_hdbscan_3
atm card retention,3,6889bab4a4f4718f70979000,umap_3_hdbscan_3
ach payroll failure,20,6889bab4a4f4718f70979001,umap_3_hdbscan_3
core banking slowdown,30,6889bab4a4f4718f70979002,umap_3_hdbscan_3
suspicious login activity,1,6889bab4a4f4718f70979003,umap_3_hdbscan_3
branch network outage,10,6889bab4a4f4718f70979004,umap_3_hdbscan_3
salesforce api timeout,51,6889bab4a4f4718f70979005,umap_3_hdbscan_3
report generation delay,36,6889bab4a4f4718f70979006,umap_3_hdbscan_3
mobile app alignment,18,6889bab4a4f4718f70979007,umap_3_hdbscan_3
audit log capacity,59,6889bab4a4f4718f70979008,umap_3_hdbscan_3
web login failure,63,6889bae7a4f4718f70979009,umap_3_hdbscan_3
atm card reader failure,15,6889bae7a4f4718f7097900a,umap_3_hdbscan_3
fail ach payroll,11,6889bae7a4f4718f7097900b,umap_3_hdbscan_3
suspicious login attempt,1,6889bae7a4f4718f7097900c,umap_3_hdbscan_3
branch network outage,10,6889bae7a4f4718f7097900d,umap_3_hdbscan_3
loan report performance,45,6889bae7a4f4718f7097900e,umap_3_hdbscan_3
android app crash,9,6889bae8a4f4718f7097900f,umap_3_hdbscan_3
swift message validation,62,6889bae8a4f4718f70979010,umap_3_hdbscan_3
system performance degradation,51,6889bae8a4f4718f70979011,umap_3_hdbscan_3
pdf nickname display,24,6889bae8a4f4718f70979012,umap_3_hdbscan_3
okta connection failure,65,6889bb16a4f4718f70979013,umap_3_hdbscan_3
atm card reader failure,15,6889bb16a4f4718f70979014,umap_3_hdbscan_3
ach payment failure,14,6889bb16a4f4718f70979015,umap_3_hdbscan_3
suspicious login attempt,1,6889bb16a4f4718f70979016,umap_3_hdbscan_3
database performance degradation,5,6889bb16a4f4718f70979017,umap_3_hdbscan_3
mpls circuit latency,42,6889bb16a4f4718f70979018,umap_3_hdbscan_3
mobile balance discrepancy,17,6889bb16a4f4718f70979019,umap_3_hdbscan_3
report generation failure,7,6889bb16a4f4718f7097901a,umap_3_hdbscan_3
api rate limiting,51,6889bb16a4f4718f7097901b,umap_3_hdbscan_3
firefox font rendering,31,6889bb16a4f4718f7097901c,umap_3_hdbscan_3
duo authentication failure,-1,6889bb5ba4f4718f7097901d,umap_3_hdbscan_3
atm card reader failure,15,6889bb5ba4f4718f7097901e,umap_3_hdbscan_3
pvsm payment delay,51,6889bb5ba4f4718f7097901f,umap_3_hdbscan_3
brute force attack,6,6889bb5ba4f4718f70979020,umap_3_hdbscan_3
branch network latency,25,6889bb5ba4f4718f70979021,umap_3_hdbscan_3
report generation delay,36,6889bb5ba4f4718f70979022,umap_3_hdbscan_3
android app crash,9,6889bb5ca4f4718f70979023,umap_3_hdbscan_3
cpu utilization spike,61,6889bb5ca4f4718f70979024,umap_3_hdbscan_3
statement datum discrepancy,37,6889bb5ca4f4718f70979025,umap_3_hdbscan_3
font rendering error,31,6889bb5ca4f4718f70979026,umap_3_hdbscan_3
online login failure,69,6889bb9ba4f4718f70979027,umap_3_hdbscan_3
ncr card reader failure,15,6889bb9ba4f4718f70979028,umap_3_hdbscan_3
ach batch failure,11,6889bb9ba4f4718f70979029,umap_3_hdbscan_3
cbs performance degradation,67,6889bb9ba4f4718f7097902a,umap_3_hdbscan_3
brute force attack,6,6889bb9ca4f4718f7097902b,umap_3_hdbscan_3
branch network outage,10,6889bb9ca4f4718f7097902c,umap_3_hdbscan_3
push notification failure,62,6889bb9ca4f4718f7097902d,umap_3_hdbscan_3
replication lag,25,6889bb9ca4f4718f7097902e,umap_3_hdbscan_3
incorrect account statement,49,6889bb9ca4f4718f7097902f,umap_3_hdbscan_3
firefox ui misalignment,32,6889bb9ca4f4718f70979030,umap_3_hdbscan_3
horizon login failure,68,6889bbdea4f4718f70979031,umap_3_hdbscan_3
atm card reader,15,6889bbdea4f4718f70979032,umap_3_hdbscan_3
ach transfer failure,14,6889bbdfa4f4718f70979033,umap_3_hdbscan_3
brute force attack,6,6889bbdfa4f4718f70979034,umap_3_hdbscan_3
account summary api,54,6889bbdfa4f4718f70979035,umap_3_hdbscan_3
branch network outage,10,6889bbdfa4f4718f70979036,umap_3_hdbscan_3
billpay module crash,28,6889bbdfa4f4718f70979037,umap_3_hdbscan_3
dwh connection failure,-1,6889bbdfa4f4718f70979038,umap_3_hdbscan_3
voip quality,66,6889bbdfa4f4718f70979039,umap_3_hdbscan_3
account nickname truncation,22,6889bbdfa4f4718f7097903a,umap_3_hdbscan_3
webdirect login failure,-1,6889bc1ea4f4718f7097903b,umap_3_hdbscan_3
atm cash dispenser,2,6889bc1ea4f4718f7097903c,umap_3_hdbscan_3
ach routing number,12,6889bc1ea4f4718f7097903d,umap_3_hdbscan_3
database performance degradation,5,6889bc1ea4f4718f7097903e,umap_3_hdbscan_3
suspicious login attempt,1,6889bc1ea4f4718f7097903f,umap_3_hdbscan_3
branch network outage,10,6889bc1ea4f4718f70979040,umap_3_hdbscan_3
mobile balance discrepancy,17,6889bc1ea4f4718f70979041,umap_3_hdbscan_3
dtr generation failure,67,6889bc1ea4f4718f70979042,umap_3_hdbscan_3
exchange online delay,29,6889bc1fa4f4718f70979043,umap_3_hdbscan_3
chrome head distortion,63,6889bc1fa4f4718f70979044,umap_3_hdbscan_3
online login failure,69,6889bc63a4f4718f70979045,umap_3_hdbscan_3
atm deposit failure,-1,6889bc63a4f4718f70979046,umap_3_hdbscan_3
ach payroll failure,20,6889bc64a4f4718f70979047,umap_3_hdbscan_3
api performance degradation,51,6889bc64a4f4718f70979048,umap_3_hdbscan_3
brute force attack,6,6889bc64a4f4718f70979049,umap_3_hdbscan_3
branch network outage,10,6889bc64a4f4718f7097904a,umap_3_hdbscan_3
mobile app crash,18,6889bc64a4f4718f7097904b,umap_3_hdbscan_3
salesforce datum sync,51,6889bc64a4f4718f7097904c,umap_3_hdbscan_3
transaction datum lock,-1,6889bc64a4f4718f7097904d,umap_3_hdbscan_3
date format bug,23,6889bc64a4f4718f7097904e,umap_3_hdbscan_3
authsvc login failure,44,6889bca2a4f4718f7097904f,umap_3_hdbscan_3
atm cash jam,2,6889bca2a4f4718f70979050,umap_3_hdbscan_3
ach payment delay,14,6889bca3a4f4718f70979051,umap_3_hdbscan_3
credential stuffing attack,64,6889bca3a4f4718f70979052,umap_3_hdbscan_3
database performance degradation,5,6889bca3a4f4718f70979053,umap_3_hdbscan_3
branch network latency,25,6889bca3a4f4718f70979054,umap_3_hdbscan_3
android app crash,9,6889bca3a4f4718f70979055,umap_3_hdbscan_3
report server failure,7,6889bca3a4f4718f70979056,umap_3_hdbscan_3
swift message validation,62,6889bca3a4f4718f70979057,umap_3_hdbscan_3
loan form display,45,6889bca3a4f4718f70979058,umap_3_hdbscan_3
authserv login failure,44,6889bcc8a4f4718f70979059,umap_3_hdbscan_3
atm card reader failure,15,6889bcc9a4f4718f7097905a,umap_3_hdbscan_3
duplicate ach payment,13,6889bcc9a4f4718f7097905b,umap_3_hdbscan_3
brute force attack,6,6889bcc9a4f4718f7097905c,umap_3_hdbscan_3
branch network latency,25,6889bcc9a4f4718f7097905d,umap_3_hdbscan_3
crm datum sync,57,6889bcc9a4f4718f7097905e,umap_3_hdbscan_3
mobile app crash,18,6889bcc9a4f4718f7097905f,umap_3_hdbscan_3
slow report generation,34,6889bcc9a4f4718f70979060,umap_3_hdbscan_3
ssl certificate renewal,55,6889bcc9a4f4718f70979061,umap_3_hdbscan_3
pdf statement alignment,24,6889bcc9a4f4718f70979062,umap_3_hdbscan_3
ldap authentication failure,56,6889bd02a4f4718f70979063,umap_3_hdbscan_3
atm card reader failure,15,6889bd02a4f4718f70979064,umap_3_hdbscan_3
duplicate ach payment,13,6889bd02a4f4718f70979065,umap_3_hdbscan_3
suspicious login attempt,1,6889bd02a4f4718f70979066,umap_3_hdbscan_3
branch network latency,25,6889bd02a4f4718f70979067,umap_3_hdbscan_3
los database performance,35,6889bd02a4f4718f70979068,umap_3_hdbscan_3
mobile app crash,18,6889bd02a4f4718f70979069,umap_3_hdbscan_3
file server cpu,60,6889bd03a4f4718f7097906a,umap_3_hdbscan_3
report date format,49,6889bd03a4f4718f7097906b,umap_3_hdbscan_3
verbose logging issue,48,6889bd03a4f4718f7097906c,umap_3_hdbscan_3
login failure error,68,6889bd25a4f4718f7097906d,umap_3_hdbscan_3
atm card retention,3,6889bd26a4f4718f7097906e,umap_3_hdbscan_3
ach payroll failure,20,6889bd26a4f4718f7097906f,umap_3_hdbscan_3
suspicious login activity,1,6889bd26a4f4718f70979070,umap_3_hdbscan_3
branch network outage,10,6889bd26a4f4718f70979071,umap_3_hdbscan_3
statement generation delay,37,6889bd26a4f4718f70979072,umap_3_hdbscan_3
mobile balance discrepancy,17,6889bd26a4f4718f70979073,umap_3_hdbscan_3
server cpu spike,61,6889bd26a4f4718f70979074,umap_3_hdbscan_3
payee alignment,46,6889bd27a4f4718f70979075,umap_3_hdbscan_3
firewall log overflow,59,6889bd27a4f4718f70979076,umap_3_hdbscan_3
fail login attempt,68,6889bd4ca4f4718f70979077,umap_3_hdbscan_3
atm deposit failure,2,6889bd4ca4f4718f70979078,umap_3_hdbscan_3
ach payment delay,14,6889bd4ca4f4718f70979079,umap_3_hdbscan_3
batch job failure,48,6889bd4ca4f4718f7097907a,umap_3_hdbscan_3
credential stuffing attempt,64,6889bd4ca4f4718f7097907b,umap_3_hdbscan_3
branch network outage,10,6889bd4ca4f4718f7097907c,umap_3_hdbscan_3
mobile app crash,18,6889bd4da4f4718f7097907d,umap_3_hdbscan_3
report generation delay,36,6889bd4da4f4718f7097907e,umap_3_hdbscan_3
account nickname truncation,22,6889bd4da4f4718f7097907f,umap_3_hdbscan_3
credit score retrieval,45,6889bd4da4f4718f70979080,umap_3_hdbscan_3
authservice login failure,44,6889bd82a4f4718f70979081,umap_3_hdbscan_3
atm card reader failure,15,6889bd83a4f4718f70979082,umap_3_hdbscan_3
duplicate wire transfer,13,6889bd84a4f4718f70979083,umap_3_hdbscan_3
batch job failure,48,6889bd84a4f4718f70979084,umap_3_hdbscan_3
brute force attack,6,6889bd85a4f4718f70979085,umap_3_hdbscan_3
branch network outage,10,6889bd86a4f4718f70979086,umap_3_hdbscan_3
ios app crash,9,6889bd86a4f4718f70979087,umap_3_hdbscan_3
report query performance,4,6889bd86a4f4718f70979088,umap_3_hdbscan_3
bill pay alignment,28,6889bd87a4f4718f70979089,umap_3_hdbscan_3
excessive log volume,49,6889bd87a4f4718f7097908a,umap_3_hdbscan_3
authsvc login failure,44,6889bdb2a4f4718f7097908b,umap_3_hdbscan_3
atm card reader failure,15,6889bdb2a4f4718f7097908c,umap_3_hdbscan_3
ach batch delay,11,6889bdb3a4f4718f7097908d,umap_3_hdbscan_3
brute force attack,6,6889bdb3a4f4718f7097908e,umap_3_hdbscan_3
branch network outage,10,6889bdb4a4f4718f7097908f,umap_3_hdbscan_3
slow query performance,34,6889bdb4a4f4718f70979090,umap_3_hdbscan_3
false positive alert,39,6889bdb4a4f4718f70979091,umap_3_hdbscan_3
ios transaction history,8,6889bdb5a4f4718f70979092,umap_3_hdbscan_3
report datum discrepancy,49,6889bdb5a4f4718f70979093,umap_3_hdbscan_3
server room overheat,61,6889bdb6a4f4718f70979094,umap_3_hdbscan_3
login failure rate,68,6889be06a4f4718f70979095,umap_3_hdbscan_3
atm card reader failure,15,6889be07a4f4718f70979096,umap_3_hdbscan_3
ach batch failure,11,6889be07a4f4718f70979097,umap_3_hdbscan_3
suspicious login attempt,1,6889be07a4f4718f70979098,umap_3_hdbscan_3
branch network outage,10,6889be08a4f4718f70979099,umap_3_hdbscan_3
query performance degradation,4,6889be08a4f4718f7097909a,umap_3_hdbscan_3
