keyphrase,embedding_dimension,document_count,has_embedding
aml alert trigger,3584,16,True
api connection fail,3584,11,True
access control breach,3584,10,True
access token expire,3584,11,True
account closure request,3584,15,True
account lockout issue,3584,2,True
account manager issue,3584,10,True
account mandate change,3584,9,True
account synchronization fail,3584,11,True
account termination request,3584,12,True
alert system fail,3584,16,True
analytic query fail,3584,12,True
app update problem,3584,13,True
application processing slow,3584,6,True
application server,3584,8,True
authentication error report,3584,16,True
authorization matrix error,3584,7,True
backup system fail,3584,10,True
balance concentration fail,3584,13,True
balance reconciliation error,3584,18,True
balance update error,3584,12,True
bandwidth issue report,3584,13,True
bank guarantee delay,3584,10,True
batch processing fail,3584,17,True
biometric recognition fail,3584,10,True
biometric setup fail,3584,16,True
board member concern,3584,16,True
browser compatibility issue,3584,16,True
bulk payment problem,3584,21,True
business intelligence error,3584,16,True
card authorization fail,3584,9,True
card pin reset,3584,9,True
card skimming incident,3584,17,True
cash flow problem,3584,10,True
claim settlement delay,3584,9,True
client categorization issue,3584,12,True
closure documentation miss,3584,9,True
collection processing delay,3584,6,True
connection timeout error,3584,12,True
consent management fail,3584,15,True
contact detail update,3584,9,True
contract compliance issue,3584,13,True
core system error,3584,12,True
corporate setup delay,3584,19,True
correspondent bank delay,3584,10,True
courier service delay,3584,13,True
credit amendment request,3584,11,True
credit covenant breach,3584,13,True
credit facility issue,3584,19,True
cross border fail,3584,12,True
currency conversion problem,3584,10,True
custom report error,3584,10,True
customer communication fail,3584,14,True
custom clearance issue,3584,14,True
dashboard access problem,3584,10,True
datum access request,3584,11,True
datum portability request,3584,9,True
datum recovery require,3584,8,True
datum sharing problem,3584,12,True
database corruption detect,3584,19,True
deal confirmation delay,3584,9,True
derivative confirmation delay,3584,11,True
direct debit rejection,3584,6,True
document amendment require,3584,11,True
document authentication fail,3584,16,True
document discrepancy find,3584,6,True
document verification fail,3584,13,True
dual control fail,3584,13,True
diligence require,3584,15,True
electronic document error,3584,12,True
email notification fail,3584,9,True
equipment failure report,3584,5,True
error detection problem,3584,9,True
exchange rate error,3584,12,True
executive complaint raise,3584,8,True
export finance problem,3584,12,True
fx rate dispute,3584,17,True
fee calculation error,3584,10,True
finance application delay,3584,11,True
form processing delay,3584,8,True
fraud detection alert,3584,12,True
guarantee claim raise,3584,14,True
hedging problem report,3584,18,True
identity theft alert,3584,9,True
import payment delay,3584,5,True
interface integration fail,3584,14,True
international transfer fail,3584,11,True
investment maturity issue,3584,10,True
investment query raise,3584,9,True
kyc update require,3584,14,True
letter credit issue,3584,6,True
liquidity report error,3584,15,True
loan interest error,3584,8,True
login session expire,3584,11,True
mobile feature break,3584,9,True
mobile login error,3584,6,True
multi currency issue,3584,10,True
multi factor fail,3584,16,True
network connection lose,3584,13,True
notification setup error,3584,6,True
online fraud report,3584,13,True
open banking error,3584,9,True
password expiry alert,3584,13,True
password reset fail,3584,12,True
payment file reject,3584,15,True
payment instruction error,3584,13,True
payment processor error,3584,18,True
payment queue error,3584,9,True
performance metric breach,3584,18,True
personal datum deletion,3584,10,True
platform response slow,3584,13,True
portfolio management issue,3584,16,True
pricing dispute raise,3584,14,True
process quality issue,3584,13,True
processing status delay,3584,16,True
product governance issue,3584,10,True
profile datum incorrect,3584,14,True
profile modification request,3584,10,True
protocol communication error,3584,16,True
provider authentication fail,3584,16,True
push notification fail,3584,16,True
quote request delay,3584,14,True
real time datum,3584,12,True
regulatory report delay,3584,14,True
relationship coverage gap,3584,10,True
remote access problem,3584,18,True
report format error,3584,15,True
response time complaint,3584,11,True
risk assessment fail,3584,12,True
risk rating update,3584,9,True
sla breach detect,3584,11,True
swift message error,3584,7,True
sanction screen alert,3584,15,True
security breach report,3584,12,True
server hardware fail,3584,13,True
service fee question,3584,22,True
service interface,3584,10,True
service provider complaint,3584,9,True
service response complaint,3584,9,True
session management error,3584,11,True
settlement issue report,3584,9,True
signatory update require,3584,17,True
signature verification fail,3584,13,True
software update fail,3584,12,True
standing order error,3584,5,True
statement download error,3584,11,True
statement generation fail,3584,16,True
status tracking error,3584,20,True
storage capacity issue,3584,16,True
strong authentication error,3584,8,True
submission deadline miss,3584,9,True
suitability assessment issue,3584,16,True
system performance issue,3584,15,True
party access,3584,12,True
token generation error,3584,14,True
trade document error,3584,8,True
transaction dispute raise,3584,13,True
transaction fraud detect,3584,13,True
transaction history miss,3584,15,True
transaction limit exceed,3584,7,True
transaction report error,3584,12,True
user permission error,3584,7,True
vendor license issue,3584,13,True
vulnerability assessment require,3584,7,True
web portal timeout,3584,9,True
wire transfer delay,3584,7,True
workflow approval stick,3584,20,True
