keyphrase,embedding_dimension,document_count,batch_number
aml alert trigger,3584,16,1
api connection fail,3584,11,1
access control breach,3584,10,1
access token expire,3584,11,1
account closure request,3584,15,1
account lockout issue,3584,2,1
account manager issue,3584,10,1
account mandate change,3584,9,1
account synchronization fail,3584,11,1
account termination request,3584,12,1
alert system fail,3584,16,1
analytic query fail,3584,12,1
app update problem,3584,13,1
application processing slow,3584,6,1
application server,3584,8,1
authentication error report,3584,16,1
authorization matrix error,3584,7,2
backup system fail,3584,10,2
balance concentration fail,3584,13,2
balance reconciliation error,3584,18,2
balance update error,3584,12,2
bandwidth issue report,3584,13,2
bank guarantee delay,3584,10,2
batch processing fail,3584,17,2
biometric recognition fail,3584,10,2
biometric setup fail,3584,16,2
board member concern,3584,16,2
browser compatibility issue,3584,16,2
bulk payment problem,3584,21,2
business intelligence error,3584,16,2
card authorization fail,3584,9,2
card pin reset,3584,9,2
card skimming incident,3584,17,3
cash flow problem,3584,10,3
claim settlement delay,3584,9,3
client categorization issue,3584,12,3
closure documentation miss,3584,9,3
collection processing delay,3584,6,3
connection timeout error,3584,12,3
consent management fail,3584,15,3
contact detail update,3584,9,3
contract compliance issue,3584,13,3
core system error,3584,12,3
corporate setup delay,3584,19,3
correspondent bank delay,3584,10,3
courier service delay,3584,13,3
credit amendment request,3584,11,3
credit covenant breach,3584,13,3
credit facility issue,3584,19,4
cross border fail,3584,12,4
currency conversion problem,3584,10,4
custom report error,3584,10,4
customer communication fail,3584,14,4
custom clearance issue,3584,14,4
dashboard access problem,3584,10,4
datum access request,3584,11,4
datum portability request,3584,9,4
datum recovery require,3584,8,4
datum sharing problem,3584,12,4
database corruption detect,3584,19,4
deal confirmation delay,3584,9,4
derivative confirmation delay,3584,11,4
direct debit rejection,3584,6,4
document amendment require,3584,11,4
document authentication fail,3584,16,5
document discrepancy find,3584,6,5
document verification fail,3584,13,5
dual control fail,3584,13,5
diligence require,3584,15,5
electronic document error,3584,12,5
email notification fail,3584,9,5
equipment failure report,3584,5,5
error detection problem,3584,9,5
exchange rate error,3584,12,5
executive complaint raise,3584,8,5
export finance problem,3584,12,5
fx rate dispute,3584,17,5
fee calculation error,3584,10,5
finance application delay,3584,11,5
form processing delay,3584,8,5
fraud detection alert,3584,12,6
guarantee claim raise,3584,14,6
hedging problem report,3584,18,6
identity theft alert,3584,9,6
import payment delay,3584,5,6
interface integration fail,3584,14,6
international transfer fail,3584,11,6
investment maturity issue,3584,10,6
investment query raise,3584,9,6
kyc update require,3584,14,6
letter credit issue,3584,6,6
liquidity report error,3584,15,6
loan interest error,3584,8,6
login session expire,3584,11,6
mobile feature break,3584,9,6
mobile login error,3584,6,6
multi currency issue,3584,10,7
multi factor fail,3584,16,7
network connection lose,3584,13,7
notification setup error,3584,6,7
online fraud report,3584,13,7
open banking error,3584,9,7
password expiry alert,3584,13,7
password reset fail,3584,12,7
payment file reject,3584,15,7
payment instruction error,3584,13,7
payment processor error,3584,18,7
payment queue error,3584,9,7
performance metric breach,3584,18,7
personal datum deletion,3584,10,7
platform response slow,3584,13,7
portfolio management issue,3584,16,7
pricing dispute raise,3584,14,8
process quality issue,3584,13,8
processing status delay,3584,16,8
product governance issue,3584,10,8
profile datum incorrect,3584,14,8
profile modification request,3584,10,8
protocol communication error,3584,16,8
provider authentication fail,3584,16,8
push notification fail,3584,16,8
quote request delay,3584,14,8
real time datum,3584,12,8
regulatory report delay,3584,14,8
relationship coverage gap,3584,10,8
remote access problem,3584,18,8
report format error,3584,15,8
response time complaint,3584,11,8
risk assessment fail,3584,12,9
risk rating update,3584,9,9
sla breach detect,3584,11,9
swift message error,3584,7,9
sanction screen alert,3584,15,9
security breach report,3584,12,9
server hardware fail,3584,13,9
service fee question,3584,22,9
service interface,3584,10,9
service provider complaint,3584,9,9
service response complaint,3584,9,9
session management error,3584,11,9
settlement issue report,3584,9,9
signatory update require,3584,17,9
signature verification fail,3584,13,9
software update fail,3584,12,9
standing order error,3584,5,10
statement download error,3584,11,10
statement generation fail,3584,16,10
status tracking error,3584,20,10
storage capacity issue,3584,16,10
strong authentication error,3584,8,10
submission deadline miss,3584,9,10
suitability assessment issue,3584,16,10
system performance issue,3584,15,10
party access,3584,12,10
token generation error,3584,14,10
trade document error,3584,8,10
transaction dispute raise,3584,13,10
transaction fraud detect,3584,13,10
transaction history miss,3584,15,10
transaction limit exceed,3584,7,10
transaction report error,3584,12,11
user permission error,3584,7,11
vendor license issue,3584,13,11
vulnerability assessment require,3584,7,11
web portal timeout,3584,9,11
wire transfer delay,3584,7,11
workflow approval stick,3584,20,11
