document_id,original_topic,processed_topic
68a8c9fb8b8398d82b9fe32c,AML Processes Smooth,aml process smooth
68a8c9fc8b8398d82b9fe463,AML Processes Smooth,aml process smooth
68a8c9fd8b8398d82b9fe4ce,AML Processes Smooth,aml process smooth
68a8c9fd8b8398d82b9fe59a,AML Processes Smooth,aml process smooth
68a8c9fd8b8398d82b9fe5a9,AML Processes Smooth,aml process smooth
68a8c9fd8b8398d82b9fe5aa,AML Processes Smooth,aml process smooth
68a8c9fe8b8398d82b9fe684,AML Processes Smooth,aml process smooth
68a8c9fe8b8398d82b9fe6de,AML Processes Smooth,aml process smooth
68a8c9ff8b8398d82b9fe75b,AML Processes Smooth,aml process smooth
68a8ca018b8398d82b9fe918,AML Processes Smooth,aml process smooth
68a8ca018b8398d82b9fe965,AML Processes Smooth,aml process smooth
68a8ca028b8398d82b9fe9d3,AML Processes Smooth,aml process smooth
68a8ca028b8398d82b9fea78,AML Processes Smooth,aml process smooth
68a8ca028b8398d82b9feae3,AML Processes Smooth,aml process smooth
68a8c9fb8b8398d82b9fe380,API Integration Problems,api integration problem
68a8c9fc8b8398d82b9fe408,API Integration Problems,api integration problem
68a8c9fc8b8398d82b9fe417,API Integration Problems,api integration problem
68a8c9fc8b8398d82b9fe41d,API Integration Problems,api integration problem
68a8c9fc8b8398d82b9fe482,API Integration Problems,api integration problem
68a8c9fd8b8398d82b9fe4bc,API Integration Problems,api integration problem
68a8c9fd8b8398d82b9fe5bc,API Integration Problems,api integration problem
68a8c9fe8b8398d82b9fe61f,API Integration Problems,api integration problem
68a8c9fe8b8398d82b9fe675,API Integration Problems,api integration problem
68a8c9ff8b8398d82b9fe760,API Integration Problems,api integration problem
68a8c9ff8b8398d82b9fe7d2,API Integration Problems,api integration problem
68a8ca008b8398d82b9fe8b2,API Integration Problems,api integration problem
68a8ca008b8398d82b9fe8c7,API Integration Problems,api integration problem
68a8ca008b8398d82b9fe8ea,API Integration Problems,api integration problem
68a8ca018b8398d82b9fe902,API Integration Problems,api integration problem
68a8ca018b8398d82b9fe949,API Integration Problems,api integration problem
68a8ca018b8398d82b9fe9ab,API Integration Problems,api integration problem
68a8ca028b8398d82b9fea08,API Integration Problems,api integration problem
68a8ca028b8398d82b9fea20,API Integration Problems,api integration problem
68a8ca028b8398d82b9fea6a,API Integration Problems,api integration problem
68a8c9fc8b8398d82b9fe3f5,API Services Outstanding,api service outstanding
68a8c9fd8b8398d82b9fe4b6,API Services Outstanding,api service outstanding
68a8c9fd8b8398d82b9fe519,API Services Outstanding,api service outstanding
68a8c9fd8b8398d82b9fe536,API Services Outstanding,api service outstanding
68a8c9fd8b8398d82b9fe59b,API Services Outstanding,api service outstanding
68a8c9fe8b8398d82b9fe5e8,API Services Outstanding,api service outstanding
68a8c9fe8b8398d82b9fe5ed,API Services Outstanding,api service outstanding
68a8c9fe8b8398d82b9fe5f7,API Services Outstanding,api service outstanding
68a8c9fe8b8398d82b9fe618,API Services Outstanding,api service outstanding
68a8c9fe8b8398d82b9fe6f0,API Services Outstanding,api service outstanding
68a8ca018b8398d82b9fe99f,API Services Outstanding,api service outstanding
68a8ca028b8398d82b9feaea,API Services Outstanding,api service outstanding
68a8c9fb8b8398d82b9fe338,Account Access Problems,account access problem
68a8c9fb8b8398d82b9fe3ea,Account Access Problems,account access problem
68a8c9fb8b8398d82b9fe3eb,Account Access Problems,account access problem
68a8c9fc8b8398d82b9fe412,Account Access Problems,account access problem
68a8c9fc8b8398d82b9fe466,Account Access Problems,account access problem
68a8c9fc8b8398d82b9fe491,Account Access Problems,account access problem
68a8c9fd8b8398d82b9fe4e3,Account Access Problems,account access problem
68a8c9fd8b8398d82b9fe4fd,Account Access Problems,account access problem
68a8c9fd8b8398d82b9fe51c,Account Access Problems,account access problem
68a8c9fd8b8398d82b9fe571,Account Access Problems,account access problem
68a8c9fd8b8398d82b9fe5ab,Account Access Problems,account access problem
68a8c9fe8b8398d82b9fe5ea,Account Access Problems,account access problem
68a8c9fe8b8398d82b9fe62b,Account Access Problems,account access problem
68a8c9fe8b8398d82b9fe66a,Account Access Problems,account access problem
68a8c9ff8b8398d82b9fe74f,Account Access Problems,account access problem
68a8c9ff8b8398d82b9fe788,Account Access Problems,account access problem
68a8c9ff8b8398d82b9fe7c8,Account Access Problems,account access problem
68a8ca008b8398d82b9fe83a,Account Access Problems,account access problem
68a8ca008b8398d82b9fe867,Account Access Problems,account access problem
68a8ca008b8398d82b9fe88f,Account Access Problems,account access problem
68a8ca008b8398d82b9fe8e0,Account Access Problems,account access problem
68a8ca008b8398d82b9fe8ef,Account Access Problems,account access problem
68a8ca028b8398d82b9fe9fb,Account Access Problems,account access problem
68a8c9fb8b8398d82b9fe333,Account Configuration Assistance,account configuration assistance
68a8c9fb8b8398d82b9fe361,Account Configuration Assistance,account configuration assistance
68a8c9fb8b8398d82b9fe3d6,Account Configuration Assistance,account configuration assistance
68a8c9fc8b8398d82b9fe41c,Account Configuration Assistance,account configuration assistance
68a8c9fc8b8398d82b9fe422,Account Configuration Assistance,account configuration assistance
68a8c9fc8b8398d82b9fe423,Account Configuration Assistance,account configuration assistance
68a8c9fc8b8398d82b9fe428,Account Configuration Assistance,account configuration assistance
68a8c9fd8b8398d82b9fe582,Account Configuration Assistance,account configuration assistance
68a8c9fe8b8398d82b9fe66f,Account Configuration Assistance,account configuration assistance
68a8ca008b8398d82b9fe7fd,Account Configuration Assistance,account configuration assistance
68a8ca008b8398d82b9fe833,Account Configuration Assistance,account configuration assistance
68a8ca018b8398d82b9fe914,Account Configuration Assistance,account configuration assistance
68a8ca028b8398d82b9fea98,Account Configuration Assistance,account configuration assistance
68a8c9fb8b8398d82b9fe385,Account Management Satisfactory,account management satisfactory
68a8c9fb8b8398d82b9fe3bb,Account Management Satisfactory,account management satisfactory
68a8c9fc8b8398d82b9fe44b,Account Management Satisfactory,account management satisfactory
68a8c9fd8b8398d82b9fe530,Account Management Satisfactory,account management satisfactory
68a8ca008b8398d82b9fe81b,Account Management Satisfactory,account management satisfactory
68a8ca008b8398d82b9fe841,Account Management Satisfactory,account management satisfactory
68a8ca008b8398d82b9fe8f1,Account Management Satisfactory,account management satisfactory
68a8ca028b8398d82b9fea4c,Account Management Satisfactory,account management satisfactory
68a8ca028b8398d82b9fea5b,Account Management Satisfactory,account management satisfactory
68a8c9fb8b8398d82b9fe382,Account Manager Responsive,account manager responsive
68a8c9fc8b8398d82b9fe4a6,Account Manager Responsive,account manager responsive
68a8c9fd8b8398d82b9fe5a2,Account Manager Responsive,account manager responsive
68a8c9fe8b8398d82b9fe5f1,Account Manager Responsive,account manager responsive
68a8c9fe8b8398d82b9fe621,Account Manager Responsive,account manager responsive
68a8c9fe8b8398d82b9fe691,Account Manager Responsive,account manager responsive
68a8c9fe8b8398d82b9fe702,Account Manager Responsive,account manager responsive
68a8ca008b8398d82b9fe8f3,Account Manager Responsive,account manager responsive
68a8ca028b8398d82b9fea0b,Account Manager Responsive,account manager responsive
68a8ca028b8398d82b9fea18,Account Manager Responsive,account manager responsive
68a8ca028b8398d82b9fea85,Account Manager Responsive,account manager responsive
68a8c9fb8b8398d82b9fe350,App Login Problems,app login problem
68a8c9fd8b8398d82b9fe508,App Login Problems,app login problem
68a8c9fe8b8398d82b9fe607,App Login Problems,app login problem
68a8c9fe8b8398d82b9fe624,App Login Problems,app login problem
68a8c9fe8b8398d82b9fe626,App Login Problems,app login problem
68a8c9ff8b8398d82b9fe78c,App Login Problems,app login problem
68a8ca008b8398d82b9fe897,App Login Problems,app login problem
68a8ca008b8398d82b9fe8ad,App Login Problems,app login problem
68a8ca018b8398d82b9fe951,App Login Problems,app login problem
68a8ca028b8398d82b9fe9cc,App Login Problems,app login problem
68a8ca028b8398d82b9feac3,App Login Problems,app login problem
68a8c9fd8b8398d82b9fe58a,Application Launch Failed,application launch fail
68a8c9fe8b8398d82b9fe5f6,Application Launch Failed,application launch fail
68a8c9fe8b8398d82b9fe625,Application Launch Failed,application launch fail
68a8ca008b8398d82b9fe7fe,Application Launch Failed,application launch fail
68a8ca008b8398d82b9fe83c,Application Launch Failed,application launch fail
68a8ca008b8398d82b9fe89a,Application Launch Failed,application launch fail
68a8ca008b8398d82b9fe8dd,Application Launch Failed,application launch fail
68a8ca028b8398d82b9feae5,Application Launch Failed,application launch fail
68a8c9fb8b8398d82b9fe367,Authentication Errors Reported,authentication error report
68a8c9fb8b8398d82b9fe392,Authentication Errors Reported,authentication error report
68a8c9fb8b8398d82b9fe39e,Authentication Errors Reported,authentication error report
68a8c9fc8b8398d82b9fe476,Authentication Errors Reported,authentication error report
68a8c9fe8b8398d82b9fe64c,Authentication Errors Reported,authentication error report
68a8c9fe8b8398d82b9fe650,Authentication Errors Reported,authentication error report
68a8ca008b8398d82b9fe8f2,Authentication Errors Reported,authentication error report
68a8ca028b8398d82b9fea44,Authentication Errors Reported,authentication error report
68a8ca028b8398d82b9fea76,Authentication Errors Reported,authentication error report
68a8c9fb8b8398d82b9fe378,Authorization Matrix Updates,authorization matrix update
68a8c9fc8b8398d82b9fe3fd,Authorization Matrix Updates,authorization matrix update
68a8c9fc8b8398d82b9fe443,Authorization Matrix Updates,authorization matrix update
68a8c9fe8b8398d82b9fe628,Authorization Matrix Updates,authorization matrix update
68a8c9fe8b8398d82b9fe652,Authorization Matrix Updates,authorization matrix update
68a8c9fe8b8398d82b9fe656,Authorization Matrix Updates,authorization matrix update
68a8c9fe8b8398d82b9fe69f,Authorization Matrix Updates,authorization matrix update
68a8c9fe8b8398d82b9fe709,Authorization Matrix Updates,authorization matrix update
68a8c9ff8b8398d82b9fe790,Authorization Matrix Updates,authorization matrix update
68a8c9ff8b8398d82b9fe7c6,Authorization Matrix Updates,authorization matrix update
68a8ca008b8398d82b9fe821,Authorization Matrix Updates,authorization matrix update
68a8ca028b8398d82b9fe9da,Authorization Matrix Updates,authorization matrix update
68a8ca028b8398d82b9fea01,Authorization Matrix Updates,authorization matrix update
68a8c9fb8b8398d82b9fe334,Balance Update Delayed,balance update delay
68a8c9fc8b8398d82b9fe433,Balance Update Delayed,balance update delay
68a8c9fd8b8398d82b9fe50f,Balance Update Delayed,balance update delay
68a8c9fe8b8398d82b9fe605,Balance Update Delayed,balance update delay
68a8c9fe8b8398d82b9fe64e,Balance Update Delayed,balance update delay
68a8c9ff8b8398d82b9fe7a8,Balance Update Delayed,balance update delay
68a8ca008b8398d82b9fe8e2,Balance Update Delayed,balance update delay
68a8ca028b8398d82b9fea12,Balance Update Delayed,balance update delay
68a8ca028b8398d82b9feab4,Balance Update Delayed,balance update delay
68a8ca028b8398d82b9feacc,Balance Update Delayed,balance update delay
68a8ca028b8398d82b9feae8,Balance Update Delayed,balance update delay
68a8c9fc8b8398d82b9fe46d,Bank Guarantee Issued,bank guarantee issue
68a8c9fc8b8398d82b9fe499,Bank Guarantee Issued,bank guarantee issue
68a8c9fd8b8398d82b9fe506,Bank Guarantee Issued,bank guarantee issue
68a8c9fd8b8398d82b9fe58b,Bank Guarantee Issued,bank guarantee issue
68a8c9fe8b8398d82b9fe62f,Bank Guarantee Issued,bank guarantee issue
68a8c9ff8b8398d82b9fe7ae,Bank Guarantee Issued,bank guarantee issue
68a8c9ff8b8398d82b9fe7b8,Bank Guarantee Issued,bank guarantee issue
68a8ca008b8398d82b9fe8bd,Bank Guarantee Issued,bank guarantee issue
68a8ca018b8398d82b9fe933,Bank Guarantee Issued,bank guarantee issue
68a8ca028b8398d82b9fea62,Bank Guarantee Issued,bank guarantee issue
68a8c9fc8b8398d82b9fe49b,Better Than Competitors,well competitor
68a8c9fe8b8398d82b9fe631,Better Than Competitors,well competitor
68a8c9fe8b8398d82b9fe6ee,Better Than Competitors,well competitor
68a8c9ff8b8398d82b9fe715,Better Than Competitors,well competitor
68a8ca008b8398d82b9fe813,Better Than Competitors,well competitor
68a8ca008b8398d82b9fe864,Better Than Competitors,well competitor
68a8ca008b8398d82b9fe872,Better Than Competitors,well competitor
68a8ca008b8398d82b9fe8a8,Better Than Competitors,well competitor
68a8ca018b8398d82b9fe958,Better Than Competitors,well competitor
68a8ca018b8398d82b9fe969,Better Than Competitors,well competitor
68a8ca028b8398d82b9fea05,Better Than Competitors,well competitor
68a8c9fd8b8398d82b9fe4c8,Billing Error Reports,billing error report
68a8c9fe8b8398d82b9fe61e,Billing Error Reports,billing error report
68a8c9ff8b8398d82b9fe72f,Billing Error Reports,billing error report
68a8ca008b8398d82b9fe7ff,Billing Error Reports,billing error report
68a8ca008b8398d82b9fe8a6,Billing Error Reports,billing error report
68a8ca018b8398d82b9fe9a4,Billing Error Reports,billing error report
68a8ca028b8398d82b9fea77,Billing Error Reports,billing error report
68a8ca028b8398d82b9feaab,Billing Error Reports,billing error report
68a8ca028b8398d82b9feae7,Billing Error Reports,billing error report
68a8c9fd8b8398d82b9fe4ee,Brand Reputation Restored,brand reputation restore
68a8c9fd8b8398d82b9fe504,Brand Reputation Restored,brand reputation restore
68a8c9fd8b8398d82b9fe509,Brand Reputation Restored,brand reputation restore
68a8c9fd8b8398d82b9fe59c,Brand Reputation Restored,brand reputation restore
68a8c9fd8b8398d82b9fe59e,Brand Reputation Restored,brand reputation restore
68a8c9ff8b8398d82b9fe725,Brand Reputation Restored,brand reputation restore
68a8c9ff8b8398d82b9fe75d,Brand Reputation Restored,brand reputation restore
68a8ca008b8398d82b9fe87b,Brand Reputation Restored,brand reputation restore
68a8ca008b8398d82b9fe882,Brand Reputation Restored,brand reputation restore
68a8ca018b8398d82b9fe95c,Brand Reputation Restored,brand reputation restore
68a8ca018b8398d82b9fe9c1,Brand Reputation Restored,brand reputation restore
68a8ca028b8398d82b9feaf4,Brand Reputation Restored,brand reputation restore
68a8c9fb8b8398d82b9fe345,Bulk Payment Efficiency,bulk payment efficiency
68a8c9fc8b8398d82b9fe484,Bulk Payment Efficiency,bulk payment efficiency
68a8c9fe8b8398d82b9fe6fd,Bulk Payment Efficiency,bulk payment efficiency
68a8c9ff8b8398d82b9fe720,Bulk Payment Efficiency,bulk payment efficiency
68a8ca008b8398d82b9fe80f,Bulk Payment Efficiency,bulk payment efficiency
68a8ca008b8398d82b9fe83f,Bulk Payment Efficiency,bulk payment efficiency
68a8ca018b8398d82b9fe903,Bulk Payment Efficiency,bulk payment efficiency
68a8ca028b8398d82b9fea17,Bulk Payment Efficiency,bulk payment efficiency
68a8ca028b8398d82b9fea32,Bulk Payment Efficiency,bulk payment efficiency
68a8c9fb8b8398d82b9fe383,Call Center Complaints,center complaint
68a8c9fb8b8398d82b9fe3c1,Call Center Complaints,center complaint
68a8c9fc8b8398d82b9fe47c,Call Center Complaints,center complaint
68a8c9fc8b8398d82b9fe486,Call Center Complaints,center complaint
68a8c9fc8b8398d82b9fe4a8,Call Center Complaints,center complaint
68a8c9fd8b8398d82b9fe4cd,Call Center Complaints,center complaint
68a8c9fd8b8398d82b9fe52a,Call Center Complaints,center complaint
68a8c9fd8b8398d82b9fe548,Call Center Complaints,center complaint
68a8c9fd8b8398d82b9fe558,Call Center Complaints,center complaint
68a8c9fe8b8398d82b9fe5e3,Call Center Complaints,center complaint
68a8c9fe8b8398d82b9fe64d,Call Center Complaints,center complaint
68a8c9ff8b8398d82b9fe722,Call Center Complaints,center complaint
68a8c9ff8b8398d82b9fe73f,Call Center Complaints,center complaint
68a8c9ff8b8398d82b9fe750,Call Center Complaints,center complaint
68a8c9ff8b8398d82b9fe76a,Call Center Complaints,center complaint
68a8c9ff8b8398d82b9fe76d,Call Center Complaints,center complaint
68a8c9ff8b8398d82b9fe793,Call Center Complaints,center complaint
68a8ca008b8398d82b9fe817,Call Center Complaints,center complaint
68a8ca008b8398d82b9fe878,Call Center Complaints,center complaint
68a8ca018b8398d82b9fe90a,Call Center Complaints,center complaint
68a8ca018b8398d82b9fe952,Call Center Complaints,center complaint
68a8ca018b8398d82b9fe97a,Call Center Complaints,center complaint
68a8ca028b8398d82b9fea15,Call Center Complaints,center complaint
68a8ca028b8398d82b9fea80,Call Center Complaints,center complaint
68a8c9fb8b8398d82b9fe330,Call Center Overwhelmed,center overwhelmed
68a8c9fc8b8398d82b9fe458,Call Center Overwhelmed,center overwhelmed
68a8c9fc8b8398d82b9fe49c,Call Center Overwhelmed,center overwhelmed
68a8c9fd8b8398d82b9fe56f,Call Center Overwhelmed,center overwhelmed
68a8c9fd8b8398d82b9fe59d,Call Center Overwhelmed,center overwhelmed
68a8c9ff8b8398d82b9fe797,Call Center Overwhelmed,center overwhelmed
68a8ca008b8398d82b9fe8b3,Call Center Overwhelmed,center overwhelmed
68a8ca018b8398d82b9fe9b7,Call Center Overwhelmed,center overwhelmed
68a8c9fb8b8398d82b9fe354,Call Disconnection Issues,disconnection issue
68a8c9fb8b8398d82b9fe374,Call Disconnection Issues,disconnection issue
68a8c9fb8b8398d82b9fe38d,Call Disconnection Issues,disconnection issue
68a8c9fc8b8398d82b9fe4ac,Call Disconnection Issues,disconnection issue
68a8c9fd8b8398d82b9fe4f9,Call Disconnection Issues,disconnection issue
68a8c9fe8b8398d82b9fe615,Call Disconnection Issues,disconnection issue
68a8c9ff8b8398d82b9fe7c0,Call Disconnection Issues,disconnection issue
68a8ca008b8398d82b9fe7fb,Call Disconnection Issues,disconnection issue
68a8ca008b8398d82b9fe85a,Call Disconnection Issues,disconnection issue
68a8ca018b8398d82b9fe97f,Call Disconnection Issues,disconnection issue
68a8c9fb8b8398d82b9fe398,Call Support Adequate,support adequate
68a8c9fc8b8398d82b9fe48b,Call Support Adequate,support adequate
68a8c9fd8b8398d82b9fe4ea,Call Support Adequate,support adequate
68a8c9fd8b8398d82b9fe550,Call Support Adequate,support adequate
68a8c9fe8b8398d82b9fe6b8,Call Support Adequate,support adequate
68a8c9fe8b8398d82b9fe6e9,Call Support Adequate,support adequate
68a8c9ff8b8398d82b9fe7a6,Call Support Adequate,support adequate
68a8ca008b8398d82b9fe843,Call Support Adequate,support adequate
68a8ca008b8398d82b9fe873,Call Support Adequate,support adequate
68a8ca008b8398d82b9fe8ca,Call Support Adequate,support adequate
68a8ca018b8398d82b9fe91d,Call Support Adequate,support adequate
68a8ca018b8398d82b9fe9c8,Call Support Adequate,support adequate
68a8ca028b8398d82b9fea8f,Call Support Adequate,support adequate
68a8ca028b8398d82b9feaaf,Call Support Adequate,support adequate
68a8c9fc8b8398d82b9fe410,Card Services Excellent,card service excellent
68a8c9fc8b8398d82b9fe450,Card Services Excellent,card service excellent
68a8c9fe8b8398d82b9fe6f1,Card Services Excellent,card service excellent
68a8ca008b8398d82b9fe888,Card Services Excellent,card service excellent
68a8ca018b8398d82b9fe9bb,Card Services Excellent,card service excellent
68a8ca028b8398d82b9fe9d0,Card Services Excellent,card service excellent
68a8ca028b8398d82b9fea3a,Card Services Excellent,card service excellent
68a8ca028b8398d82b9fea6b,Card Services Excellent,card service excellent
68a8c9fd8b8398d82b9fe4f4,Cash Management Superior,cash management superior
68a8c9fe8b8398d82b9fe60d,Cash Management Superior,cash management superior
68a8c9fe8b8398d82b9fe611,Cash Management Superior,cash management superior
68a8c9fe8b8398d82b9fe616,Cash Management Superior,cash management superior
68a8c9fe8b8398d82b9fe69d,Cash Management Superior,cash management superior
68a8c9ff8b8398d82b9fe7c5,Cash Management Superior,cash management superior
68a8c9ff8b8398d82b9fe7c9,Cash Management Superior,cash management superior
68a8ca008b8398d82b9fe870,Cash Management Superior,cash management superior
68a8ca008b8398d82b9fe8cb,Cash Management Superior,cash management superior
68a8ca018b8398d82b9fe9bc,Cash Management Superior,cash management superior
68a8ca028b8398d82b9fea61,Cash Management Superior,cash management superior
68a8c9fc8b8398d82b9fe465,Comparative Banking Feedback,comparative banking feedback
68a8c9fc8b8398d82b9fe492,Comparative Banking Feedback,comparative banking feedback
68a8c9fd8b8398d82b9fe4dc,Comparative Banking Feedback,comparative banking feedback
68a8c9fe8b8398d82b9fe61c,Comparative Banking Feedback,comparative banking feedback
68a8c9fe8b8398d82b9fe680,Comparative Banking Feedback,comparative banking feedback
